questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.2.19-008,en,tr,"At the entrance to an industrial estate, there is a St. Andrew's Cross with the supplementary sign ""Industrial estate, rail vehicles have precedence"". What must you remember?","Even if there are no barriers and no diagonal crosses at the level crossings in the entire industrial area, motor vehicle drivers must give priority to all rail vehicles. Always expect a train to come, observe the railway lines accurately and approach the tracks only with moderate speed.",Approach level crossings at moderate speed only,Rail vehicles have precedence at all level crossings,Motor vehicles have precedence at level crossings without St. Andrew's Cross,,"Bir sanayi bölgesi girişinde “Sanayi bölgesi, raylı araçların önceliği vardır” ek levhalı St. Andreas haçı var. Neyi unutmamalısınız?",Hemzemin geçitlere yalnızca orta hızla yaklaşmalısınız. St. Andreas haçı olan hemzemin geçitlerde raylı araçların önceliği vardır.,Hemzemin geçitlere yalnızca orta hızla yaklaşmak,Raylı araçların tüm hemzemin geçitlerde önceliği vardır,St. Andreas haçı olmayan hemzemin geçitlerde motorlu araçların önceliği vardır,
1.2.19-009,en,tr,These level crossing barriers have not moved for some time now. What is the right course of action?,"Apparently there is a fault with the railway barrier. It is therefore not safe to use the railway crossing. Do not cross the railway crossing under any circumstances; if a train is approaching, there is an acute danger to your life and there is also a risk that you will not be able to get through under the barriers and get stuck.
Inform the police about the fault at the railway crossing so that the problem can be fixed.",I do not cross the level crossing,I report the fault to the police,I cross the level crossing taking extra care,,Bu hemzemin geçit bariyerleri bir süredir hareket etmiyor. Doğru davranış nedir?,Bariyerler kapalı kaldığında hemzemin geçidi geçmemeli ve arızayı polise bildirmelisiniz. Dikkatli de olsa geçmek yasaktır.,Hemzemin geçidi geçmem,Arızayı polise bildiririm,Hemzemin geçidi ekstra dikkatle geçerim,
1.2.19-101,en,tr,You are driving along a forest track and approach a level crossing without St. Andrew's Cross. What do you do?,"Even without the diagonal cross, a car driver must always give priority to a rail vehicle on field and forest paths. Approach the railroad crossing at moderate speed and listen for a train approaching. Observe the track and stop, if necessary, to let the rail vehicle pass.",Proceed at moderate speed and check to see if a rail vehicle is approaching,Listen out in case a rail vehicle signals its approach by whistling or ringing a bell,Proceed without taking any special precautions since rail vehicles are required to wait here,,Orman yolunda gidiyor ve St. Andreas haçı olmayan bir hemzemin geçide yaklaşıyorsunuz. Ne yaparsınız?,"Teknik güvenlik olmayan hemzemin geçitlerde orta hızla yaklaşmalı, raylı araç gelip gelmediğine bakmalı ve sesli uyarı olup olmadığını dinlemelisiniz.",Orta hızla ilerler ve raylı araç yaklaşıyor mu kontrol ederim,Raylı aracın düdük veya zil ile yaklaştığını bildirip bildirmediğini dinlerim,Raylı araçlar burada beklemek zorunda olduğu için özel önlem almadan devam ederim,
1.2.19-102,en,tr,What do you do at a level crossing when the barriers are closed?,"At a level crossing with closed gates, all car drivers have to wait in front of the diagonal cross. If there is no traffic sign, a safe distance to the rails must be observed. Be careful not to block intersections or T-junctions when waiting. In the dark, lighting must be switched on, parking light is sufficient.",Wait before the St. Andrew's Cross without obstructing junctions,"If possible, switch on the side lights when it is dark",Use the road area and wait directly in front of the barrier,,Bariyerler kapalıyken hemzemin geçitte ne yaparsınız?,"St. Andreas haçı önünde, kavşakları engellemeden beklemelisiniz. Karanlıkta mümkünse park lambalarını yakabilirsiniz. Bariyerin hemen önünde beklemeyin.",Kavşakları engellemeden St. Andreas haçı önünde beklemek,Karanlıkta mümkünse park lambalarını yakmak,Yol alanını kullanıp doğrudan bariyerin önünde beklemek,
1.2.19-104,en,tr,When are you allowed to cross a level crossing with flashing lights but no barriers after a train has passed?,"You may only cross the level crossing after the red flashing light turns off, as another train could follow. Do not be fooled by oncoming traffic to drive on if the car driver waiting on the opposite site already starts driving too early after the train has passed through.",When the flashing red light goes out,"Immediately after the train has passed, even if the flashing red light is still on","As soon as the oncoming traffic sets off, even if the flashing red light is still on",,Tren geçtikten sonra bariyersiz ama yanıp sönen ışıklı hemzemin geçidi ne zaman geçebilirsiniz?,Kırmızı yanıp sönen ışık sönmeden hemzemin geçidi geçemezsiniz. Tren geçmiş olsa bile beklemelisiniz.,Kırmızı yanıp sönen ışık söndüğünde,"Tren geçer geçmez, kırmızı ışık hâlâ yanıp sönse bile","Karşı trafik hareket eder etmez, kırmızı ışık hâlâ yanıp sönse bile",
1.2.19-105,en,tr,You are approaching a level crossing with barriers. Where must you wait if you would have to stop on the rails in case of traffic congestion?,"If you are unable to pass the railroad crossing quickly due to slow traffic, then stop in front of the diagonal cross. Waiting directly in front of the rails or at the level of the barriers is prohibited, because at these positions you may be hit by the dynamic pressure of the train, by the train itself or trapped by the barriers.",In front of the St. Andrew's Cross,Just before the rails,Level with the barrier,,Bariyerli bir hemzemin geçide yaklaşıyorsunuz. Trafik sıkışıklığı nedeniyle rayların üzerinde kalacaksanız nerede beklemelisiniz?,Rayların üzerinde kalma ihtimali varsa St. Andreas haçı önünde beklemelisiniz.,St. Andreas haçının önünde,Raylardan hemen önce,Bariyer hizasında,
1.2.19-106-B,en,tr,What do you do here?,"All car drivers and other road users must wait at a safe distance if railway staff guards a low-traffic level crossing with a white-red-white flag. Under no circumstances should you cross the tracks here, as the transition is blocked by the swinging of the flag and trains have priority.",Approach at moderate speed and wait,Proceed as the roadway is only blocked for oncoming traffic,,,Burada ne yaparsınız?,Orta hızla yaklaşmalı ve beklemelisiniz. Yol sadece karşı trafik için kapalı değildir; hemzemin geçitte dikkat gerekir.,Orta hızla yaklaşmak ve beklemek,Yol sadece karşı trafik için kapalı olduğu için devam etmek,,
1.2.19-107,en,tr,The barrier of a level crossing inside a built-up area is closed. Where must you wait?,Trucks and vehicles with trailers (vehicles over 7.5 t permissible total mass) are only required to wait outside of built-up areas behind the level crossing (80 m) ahead marker. Inside a built-up area they have to wait in front of the diagonal crosses.,In front of the St. Andrew's Cross,Before the last beacon,Before the first beacon,,Yerleşim içinde bir hemzemin geçidin bariyeri kapalı. Nerede beklemelisiniz?,Kapalı bariyerde St. Andreas haçının önünde beklemelisiniz.,St. Andreas haçının önünde,Son yaklaşım levhasından önce,İlk yaklaşım levhasından önce,
1.2.19-109,en,tr,What does this traffic sign mean?,"The diagonal crosses indicate that rail transport has priority here. As a car driver you need to wait when a rail vehicle is approaching. A lightning bolt in the diagonal cross is an indication of an electrical overhead line, which is important for special transports with a big height.",Indication of existing overhead electrical wires,Rail traffic always has priority,You must always wait when a rail vehicle is approaching,,Bu trafik işareti ne anlama gelir?,Bu işaret mevcut elektrikli havai hatlara dikkat çeker. Raylı trafik yaklaşırken beklemek zorundasınız.,Mevcut elektrikli havai hatların bulunduğuna işaret,Raylı trafik her zaman önceliklidir,Raylı araç yaklaşıyorsa her zaman beklemelisiniz,
1.2.19-110,en,tr,"A light signal with no level crossing sign is positioned before a level crossing, and in front of a junction with a road to the right. The red light is illuminated. Where must you wait?","In the event of a red light, the car driver must stop in any case. In order not to block the traffic from the road going to the right, the red light is located several meters from the actual railroad crossing. Wait at the stop line or at the light sign if no line is available.",At the stop line,"In front of the light signal, if there is no stop line",I can drive up to the level crossing after watching out for other traffic,,"Hemzemin geçitten önce, fakat sağa giden bir yol kavşağından da önce, hemzemin geçit işareti olmayan bir ışıklı sinyal var. Kırmızı ışık yanıyor. Nerede beklemelisiniz?","Kırmızı ışıkta dur çizgisinde, dur çizgisi yoksa ışıklı sinyalin önünde beklemelisiniz.",Dur çizgisinde,Dur çizgisi yoksa ışıklı sinyalin önünde,Diğer trafiğe dikkat ederek hemzemin geçide kadar gidebilirim,
1.2.19-111,en,tr,What must you do in this situation?,The railway employee secures the level crossing and therefore you should stop before the St. Andrew's cross.,- stop in front of the level crossing,- drive on past to the left of the flagman,- drive on past to the right of the flagman,,Bu durumda ne yapmalısınız?,Bayrakçı hemzemin geçidi kapatıyorsa geçitten önce durmalısınız. Sağından veya solundan geçemezsiniz.,- hemzemin geçidin önünde durmak,- bayrakçının solundan geçip devam etmek,- bayrakçının sağından geçip devam etmek,
1.2.19-112,en,tr,Who is required to stop at a level crossing with a red flashing light in the form of an arrow point to the right?,A diagonal cross with a red flashing light in the form of an arrow to the right can be found behind an intersection or T-junction after a railroad crossing. The right arrow indicates that the car drivers who turn right must wait.,Traffic turning right,Traffic moving straight ahead,Traffic turning left,,Sağa yön gösteren kırmızı yanıp sönen ışıklı hemzemin geçitte kim durmak zorundadır?,"Ok sağa dönene işaret ediyorsa, sağa dönen trafik durmak zorundadır.",Sağa dönen trafik,Düz giden trafik,Sola dönen trafik,
1.2.19-113,en,tr,What does this traffic sign combination indicate?,The traffic sign combination shows you a level crossing. The car driver may approach the level crossing only at 10 km/h and cross it at that speed.,- which I may approach at a maximum speed of 10 km/h,- which I may cross at a maximum speed of 10 km/h,- over which rail traffic may pass at a maximum speed of 10 km/h,,Bu trafik işareti kombinasyonu neyi gösterir?,"Bu kombinasyon, hemzemin geçide ve geçidin üzerinden en fazla 10 km/saat hızla yaklaşılabileceğini/ geçilebileceğini gösterir.",- en fazla 10 km/saat hızla yaklaşabileceğim,- en fazla 10 km/saat hızla geçebileceğim,- raylı trafiğin en fazla 10 km/saat hızla geçebileceği,
1.2.19-114,en,tr,What is the right course of action now?,"If there is a risk that you might come to a stop on the rails due to a traffic jam situation or stagnant traffic, stop in front of the diagonal cross and wait until you can safely and quickly cross the level crossing. Fatal accidents occur when a car standing on the rails cannot avoid the approaching train.",I wait in front of the level crossing,I carefully cross the tracks,I wait at the tracks,,Şimdi doğru davranış nedir?,Hemzemin geçidin önünde beklemelisiniz. Rayları geçmek veya raylarda beklemek tehlikelidir.,Hemzemin geçidin önünde beklerim,Rayları dikkatlice geçerim,Rayların üzerinde beklerim,
1.2.19-115,en,tr,You are approaching a rail crossing. The barrier begins to lower. What should you do?,"When a driver approaches a gate that lowers, he/she must wait in front of the level crossing. This also applies if no rail vehicle is yet to be seen. Switching on the hazard light is not required.",I wait in front of the level crossing,I continue driving if there is no train in sight,I switch on my hazard lights,,Bir demiryolu geçidine yaklaşıyorsunuz. Bariyer inmeye başlıyor. Ne yapmalısınız?,Bariyer inmeye başladığında hemzemin geçidin önünde beklemelisiniz.,Hemzemin geçidin önünde beklerim,Tren görünmüyorsa devam ederim,Dörtlü ikaz ışıklarını yakarım,
1.2.19-116,en,tr,Where do you have to anticipate encountering rail crossings with no technical safeguards?,"In industrial and port areas, on field and forest paths, as well as on roads with little traffic, you should expect a railway crossing without a barrier or traffic light (technically unprotected).",On less-frequently used roads,In industrial zones and port areas,On dirt tracks and forest tracks,,Teknik güvenlik sistemi olmayan hemzemin geçitlerle nerelerde karşılaşmayı beklemelisiniz?,"Az kullanılan yollarda, sanayi ve liman bölgelerinde, tarla ve orman yollarında teknik güvenliksiz hemzemin geçitler olabilir.",Az kullanılan yollarda,Sanayi bölgelerinde ve liman alanlarında,Toprak yollarda ve orman yollarında,
1.2.19-117,en,tr,You want to cross a level crossing with the barriers open. What is correct?,"Even when the barriers are open, you must always approach level crossings with caution and at a moderate speed. This gives you enough time to react to possible bumps and dangerous situations. Moderate speed in this context does not mean walking speed, because you can also drive faster than walking speed. In this way you can prevent possible dangerous situations with approaching trains or lowering barriers.",I have to approach the level crossing at a moderate speed,I expect there to be bumps in the road when crossing the level crossing,I am only allowed to cross the tracks at walking speed,,Bariyerleri açık bir hemzemin geçidi geçmek istiyorsunuz. Hangisi doğrudur?,Hemzemin geçide orta hızla yaklaşmalı ve geçerken yol yüzeyinde tümsekler olabileceğini hesaba katmalısınız. Her zaman yürüme hızında geçme zorunluluğu yoktur.,Hemzemin geçide orta hızla yaklaşmalıyım,Hemzemin geçidi geçerken yolda tümsekler olabileceğini hesaba katmalıyım,Rayları yalnızca yürüme hızında geçebilirim,
1.2.19-118-M,en,tr,What should you do now?,Level crossings may not be crossed when the flashing lights above the St. Andrew's Cross are on or the barriers are lowered.,- stop before the cross,- cross the level crossing quickly,- drive through an open barrier,,Şimdi ne yapmalısınız?,Hemzemin geçitte kapatma işareti varsa haçtan önce durmalısınız. Açık bariyerden hızla geçmemelisiniz.,- haçtan önce durmak,- hemzemin geçidi hızlıca geçmek,- açık bariyerden geçmek,
