questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.1.08-008-B,en,tr,A traffic jam is building up here. What is the correct procedure?,"If you drive towards a traffic jam, turn on your hazard lights to alert other road users. It is important to build a rescue lane for any approaching rescue vehicles. In this case, drive as far to the right as possible.","If possible, switch on hazard warning lights to warn vehicles following behind",Drive as far as possible to the right in order to leave room for a channel on the left,Drive as far as possible to the left in order to leave room for a channel on the right,,,,,,,
2.1.08-010,en,tr,What must you anticipate with inclines on motorways?,"When driving uphill on motorways, you should expect slow-moving trucks in the right lane, sudden overtaking manoeuvres by other road users and large speed differences between vehicles. All 3 answers are correct.",Slow-moving trucks on the right-hand lane,Sudden overtaking manoeuvres by other road users,Large differences in speed between vehicles,,,,,,,
2.1.08-011,en,tr,What must you do?,"Since you are currently being overtaken by a car on the left-hand side, you must maintain the lane and reduce the speed until the truck in front of you has completed its overtaking maneuver and changes to the right-hand lane.",Slow down and stay in lane,Move to the left-hand lane,Maintain speed and stay in lane,,,,,,,
2.1.08-013,en,tr,What must you be aware of when joining the motorway?,"On the freeway, the continuous traffic always has the right of way and does not have to allow entrance. On the acceleration lane the driver may drive faster than the rest of the vehicles.","On the merging lane, I may drive faster than the through-driving traffic",The through-driving traffic has priority,The through-driving traffic on the right-hand lane must allow incoming traffic to merge,,,,,,,
2.1.08-014,en,tr,You are driving at the recommended speed on the motorway and want to leave it at the next exit. What should you do?,"Finish overtaking in good time and get on the right lane. Before changing to the deceleration lane look around and indicate. On the deceleration lane, check your speed on the speedometer in order to assess it right. Only on the deceleration lane you should reduce the speed significantly, so as not to hinder subsequent traffic on the continuous lane.",I cease overtaking manoeuvres in good time,I significantly reduce my speed on the exit lane,I significantly reduce my speed while still on the right-hand lane of the motorway,,,,,,,
2.1.08-015,en,tr,"After a longer journey travelling at about 120 km/h, you want to exit the motorway. What must you be aware of when doing so?","If you, as a car driver, leave the motorway at a speed of about 120 km/h, you must observe the following: 1. complete all overtaking maneuvers in good time; 2. merge right; 3. reduce the speed while checking it on the speedometer; 4. indicate. In order not to hinder the traffic on the continuous road, you should reduce the speed only when you change to the deceleration lane.","I signal in good time and then brake while on the exit lane, so as not to impede the traffic behind me",I check the speedometer to make sure I do not underestimate my speed,"I maintain my speed while on the exit lane, so as not to impede the traffic behind me",,,,,,,
2.1.08-016,en,tr,What should you do now?,"When approaching a jam end on the highway, you must reduce your speed and warn the road users behind you by switching on the hazard lights. A rescue lane is to be formed.",I slow my vehicle down,I switch on my hazard lights,I continue driving in the clear lane,,,,,,,
2.1.08-017,en,tr,What should you anticipate with this bend?,The course of the curve is not assessable. You always have to expect obstacles such as broken-down vehicles or traffic jams. Be prepared for a stop within sight. The curve may narrow in its course. Thereby you'll only notice in the curve that your speed is too high. It is important to reduce the speed on time.,With an obstacle situated around the corner,That the bend will become tighter as it progresses,With oncoming traffic on my lane,,,,,,,
2.1.08-018,en,tr,What is correct in this situation?,"The curve is difficult to assess for the car driver. There may be other road users or even obstacles on the route. Therefore, it makes sense to slow down the pace even before the turn and mentally adjust to a possible danger situation. Because even for oncoming drivers this is a difficult spot and caution is required.",I have to reduce my speed,The truck has right of way,The truck has to wait,,,,,,,
2.1.08-019,en,tr,Why do you have to slow here?,The moveable road barrier with flashing arrow in the right-hand lane forces the truck driver to change to your lane on the left. That's why you have to delay now. The white car behind you is no danger.,Because of the truck,Because of the speed limit,Because of the white car,,,,,,,
2.1.08-020,en,tr,Why do you have to reduce your speed now?,"In this situation, the blue car is likely to change to the right lane. You should therefore reduce your speed and keep a safe distance from it",Because of the blue car,Because of the speed limit,Because of the red van,,,,,,,
2.1.08-021,en,tr,You are driving at least 20 km/h faster than the green truck. What should you do?,"You are on an acceleration lane to the freeway. On the acceleration lane it is permissible to drive faster than the vehicles on the continuous lane. Therefore, you can drive onto the highway at a faster pace in front of the green truck.",I move onto the motorway ahead of the green truck,I brake and move onto the motorway behind the green truck,"I stop at the end of the merging lane, and move onto the motorway behind the blue truck",,,,,,,
2.1.08-022,en,tr,You are approaching these vehicles. What should you do in this situation?,The white car on the left lane must not be overtaken on the right. To go behind it on the left lane and to make him/her change with flash light is also prohibited. You have to slow down and drive on the middle lane just as fast as the car. Allow him/her as much distance as it takes in order for him/her to be able to change to the middle lane at any time.,I remain on the middle lane but without overtaking the white car,I remain on the middle lane and cautiously overtake the white car,I move into the left-hand lane and flash my headlights until the person in front vacates the lane,,,,,,,
2.1.08-023,en,tr,You are driving a truck. What is the right course of action now?,Please magnify the distance to the vehicle ahead and therefore hold a required safety distance.,I increase the distance to the vehicle ahead,I maintain my speed,I overtake the truck in front of me,,,,,,,
2.1.08-024-M,en,tr,What should you do now?,"Next to you is a red car that changes into the middle lane. Therefore, you cannot change the lane, otherwise you would endanger other road users.","- do not switch lanes, because [the red car] is already moving across","- move into the middle lane, because my overtaking manoeuvre is complete",- switch lanes so that I do not obstruct [the yellow car],,,,,,,
2.1.08-026-M,en,tr,What should you be prepared for now?,"No traffic jam can be seen in this situation. Since the motorcycle is driving on the left, it will not leave the motorway. On the other hand, the car driving on your left flashes to the right. You can be prepared for the driver to leave the motorway.",[The yellow car] exits the motorway,The motorbike exits the motorway,The [blue bus] in front of me brakes due to a traffic jam,,,,,,,
2.1.08-027-M,en,tr,You want to exit the motorway. What is creating a dangerous situation here?,The motorbike behind you (see right wing mirror) creates a dangerous situation for you. Take this into account when leaving the motorway.,The motorbike,[The yellow truck],[The green vehicle],,,,,,,
2.1.08-028-M,en,tr,What is the right course of action now?,"There is an object on the roadway in the right lane in front of the truck. Truck will avoid the object by using the left lane. You should therefore stay in the left lane. If you continue to drive unchanged, you could collide with the truck. You should therefore reduce your speed.",I reduce my speed,I remain in the left-hand lane,I continue driving as before,,,,,,,
2.1.08-029-M,en,tr,Why must you reduce your speed now?,"The right lane is blocked in front of the truck. He has to change to the left lane. To allow him to do this, you should reduce your speed. The car driving behind you is no reason for you to slow down. The maximum permissible speed here is 120 km/h. Keep this in mind.",Because of the truck,Because of the speed limit,Because of the [blue] car,,,,,,,
2.1.08-030-M,en,tr,You want to leave the motorway. What is the right course of action?,"As soon as you have entered the deceleration lane, you should brake. If you brake before entering the deceleration lane, you will unnecessarily interfere with traffic on the motorway. You should check your speedometer more often to make sure you are not entering the bend too fast. On motorways, there is a danger that you will get too used to the high speed and therefore enter an exit too fast. If you were to slow down at the turn, you would not be able to reduce your speed in time. In general, you should always brake before a bend and not only in the bend.",I use the speedometer to check my speed at short intervals,I reduce my speed now,I reduce my speed only once I am at the turn,,,,,,,
2.1.08-031,en,tr,"When driving on motorways, why should you maintain the recommended speed of 130 km/h?","The higher the speed, the longer the reaction distance, braking distance, etc. If all vehicles travel at a similar speed, the traffic flow becomes more even.",- can prevent accidents occurring,- can reduce the severity of possible accidents,- achieves an even flow of traffic,,,,,,,
2.1.08-032-M,en,tr,What must you anticipate here?,"Due to the sudden traffic jam, the driver of the truck sees the end of the traffic jam too late. Due to the traffic jam, the motorcycle will try to go through the rows of vehicles.",The driver of the [yellow truck] does not notice the start of the tailback in time,The motorbike drives between the lines of vehicles,[The blue car] pulls into my lane in front of me,,,,,,,
2.1.08-033-M,en,tr,What should you anticipate when driving out the exit slip road?,"A warning triangle indicates a nearby obstacle, e.g. people, a defective vehicle or a fallen load, in the exit lane. Therefore, enter the exit at a very reduced speed.",A broken-down vehicle,People on the carriageway,A fallen load,,,,,,,
2.1.08-102,en,tr,Why should you avoid overtaking alongside the roadworks site?,"When overtaking in the construction site area, the risk of accidents is significantly increased, because there is a risk that the vehicles that you want to overtake run over the yellow lane marking. The lanes are mostly narrower and the distractions on the edge of the road can lead to inattentiveness.
Overtaking in the construction site area often saves almost no time, since most drivers in the construction site area only drive the maximum speed.",The time saved is frequently insignificant,Vehicles in the right-hand lane may cross over the yellow road markings,The risk of an accident increases significantly,,,,,,,
2.1.08-103,en,tr,How can you reduce the risk of driving onto a motorway against the stipulated direction?,"To avoid driving against the direction of travel on the motorway, you should always pay attention to the relevant traffic signs. It is very important to pay attention to the exact signs, especially when the traffic routing has changed.",I deliberately look for traffic signs showing the right direction of travel at motorway slip roads,I pay close attention to the signage when the traffic routing changes,"When encountering roadworks, I only follow the information provided by my navigation system",,,,,,,
2.1.09-201,en,tr,What must you remember as bus driver on duty?,Coming soon...,- not have any beverages containing alcohol while on duty and while on stand-by duty,- not start to drive while under the effect of alcohol,"- have beverages containing alcohol while on duty, as long as a blood alcohol standard of 0.3 per mille is not exceeded",,,,,,,
2.1.09-202,en,tr,What must you remember as bus driver on duty?,Coming soon...,You may not take any drugs or medicaments which impair your ability to drive while on duty or stand-by duty,You may not start to drive when your ability to drive is impaired by drugs or medicaments,"You may take any drug for which no prescription is required, without having to fear that your ability to drive is impaired",,,,,,,
2.1.10-001,en,tr,"What must you do if you notice signs of fatigue when driving on open stretches of road at night (heavy eyelids, feeling chilly, sudden frights etc.)?","You can only avoid signs of fatigue if you take sufficiently long breaks in time. Do not turn on the radio to stay awake, as there is a risk it will distract you further. If you already feel the first symptoms of fatigue, find a place where you can take a longer break as soon as possible.",Interrupt your journey for an adequate break,Switch on the radio and proceed,,,,,,,,
2.1.10-002,en,tr,How can fatigue be prevented on a long journey?,"Timely breaks prevent overfatigue. Gymnastic exercises during the break pep up the circulation and are good for the joints. Coffee has only a short-term mobilizing effect, which can then quickly turn into the opposite. That means you could fall asleep without warning.",By well-timed and sufficient stops for rests,Gymnastic exercises during stops,Drink coffee and make no stops,,,,,,,
2.1.10-003,en,tr,What is the potential risk when using driver assistance systems?,"The car driver may have too high expectations of the advanced driver-assistance system. This may result in the car driver neglecting his or her own responsibility and paying too little attention to the traffic. Even when using advanced driver-assistance systems, the responsibility for safe driving remains with the driver.",- have false expectations of the systems,- pay too little attention to the traffic around him,- neglect his own personal responsibility,,,,,,,
2.1.10-004,en,tr,What is the risk if you become distracted while using electronic devices when driving?,Using electronic devices while driving can cause you to miss traffic signs and wander off your lane (concentration distracted).,I may deviate from my lane,I may fail to notice road traffic signs,My stopping distance may be reduced,,,,,,,
