questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.2.37-011-M,en,tr,Where must you wait?,"A traffic light in operation has priority over traffic signs, which regulate the right of way. Also, if there is a stop line, stop there and wait until you are allowed to continue.",At the stop line,At the point where you can see along the intersecting road (sight line),Level with the traffic lights,,,,,,,
1.2.37-012-M,en,tr,What is correct in this situation?,"If a traffic light turns red, car drivers who want to drive straight ahead or to the left must stop and wait. If there is an additional traffic light with a glowing green arrow pointing to the right, it is allowed to continue driving and to turn right. A traffic light without additional traffic lights or arrows, however, is valid for all directions.",Traffic turning right may proceed,Traffic continuing ahead may proceed,Traffic turning left may proceed,,,,,,,
1.2.37-013,en,tr,What should you do?,"The traffic light switches from green to yellow directly in front of you. Your speed is 45 km/h. So, you're too fast in order to slow down and stop in front of the traffic light. There is also a truck behind you, which could hit you while doing an abrupt braking maneuver. Drive on briskly.",Continue driving,Slow down,,,,,,,,
1.2.37-015,en,tr,What is correct in this situation?,"Basically, when turning left, you as a car driver have to grant the oncoming traffic right of way. Since in this situation, the green arrow lights on the opposite street corner, you can assume that the traffic light for the oncoming traffic is red. So, you can turn.",I may turn unimpeded,I must allow the oncoming traffic to pass through,I have to wait in the centre of the junction,,,,,,,
1.2.37-016,en,tr,You want to turn right at these traffic lights with a green arrow sign. What is the right course of action?,"Thanks to the green arrow sign, you can turn at this traffic light even when it's red. To do this, merge right and come to a brief stop in front of the traffic light. Afterwards, make sure that you do not obstruct or endanger other road users. Also note that cross traffic still has priority.",I stop before the junction,I have to ensure that other road users are not impeded,I may turn right into any lane,,,,,,,
1.2.37-017,en,tr,What should you do?,"In front of you you see a traffic light changing from green to yellow. You drive at 40 km/h. Since you are still far enough from the traffic lights, you have to slow down.",Slow down,Continue driving,,,,,,,,
1.2.37-018,en,tr,What is the right course of action now?,"If the yellow traffic light flashes, the traffic light system is out of operation. Then the general right of way applies. You are not on a priority road; therefore, possible cross traffic has the right of way.",I allow any cross traffic the right of way,I wait at the stop line for the next set of green lights,"I drive through the junction quickly, because ""yellow"" is displayed",,,,,,,
1.2.37-019,en,tr,Under what circumstances may you cross a junction during a red light?,You are allowed to run over a red traffic light at an intersection under the following circumstances: If you want to carefully give way to an emergency vehicle with a blue flashing light and an emergency horn or if a police officer is regulating the traffic at the intersection.,To carefully afford space to an emergency vehicle with a blue flashing light and siren sounding,If there is a police officer on the junction directing traffic,Under no circumstances,,,,,,,
1.2.37-020-M,en,tr,You now want to turn right at these traffic lights with a green arrow sign. What is the right course of action?,"If there is a green arrow sign at a traffic light, you are allowed to cross a red light if you have stopped at the stop line first. You may turn if there is no risk of obstructing or endangering other road users.",I initially halt at the stop line,I ensure that other road users are not impeded,"Without stopping, I take the turn at walking speed",,,,,,,
1.2.37-021,en,tr,What is the rule at this traffic-light-controlled junction with additional signage?,"On traffic lights with this additional sign, only cyclists, even at red, can turn to the right.","- cyclists are permitted to turn right, even when the light is showing red","- motor vehicles are permitted to turn right, even when the light is showing red",- cyclists must turn right,,,,,,,
1.2.37-022-M,en,tr,The traffic lights facing you have already been “green” for some time now. What is the right course of action now?,"As the traffic light has been green for some time, there is a high probability that it will change to yellow at any moment. Keep driving, ready to brake, because you will have to stop if it switches to yellow. You must not speed up, as a maximum of 30 km/h is permitted.","I continue driving, ready to brake because the traffic lights could change to “amber”",I watch the traffic lights closely,I accelerate to ensure that I can still safely pass through the junction while the traffic lights are “green”,,,,,,,
1.2.37-101,en,tr,"You want to turn left and the lights are ""green"". On your left there is a tram wanting to proceed straight ahead. What is correct?","Although you are allowed to drive, due to the green light, you have to grant the tram the right of way, as it continues straight ahead. You should therefore only enter the intersection halfway and let oncoming vehicles pass before turning left.",You must wait,The tram must wait,You must come to an agreement since there are no rules for this,,,,,,,
1.2.37-102-B,en,tr,You have taken the right lane by mistake although you want to turn left. How are you allowed to proceed?,"Due to the solid line, you must not change the lane here. Follow only the arrows on your lane. Turning left from this lane would be prohibited and would endanger or at least hinder other drivers.",Straight ahead,To the right,"To the left when the traffic lights are ""green""",,,,,,,
1.2.37-104,en,tr,What is the right behaviour now?,"Since this situation is a two-phase traffic light, there is no green signal. After the red light is off, you can catch up with the truck. If there was no space left behind the truck to the exit on the right, you would have to wait at the traffic lights until there was enough space to stop.",- off now,- off only when the lorry drives on,- off only when my light is green,,,,,,,
1.2.37-201-M,en,tr,What is the right course of action now?,"The traffic lights are out of order, therefore the right-of-way traffic signs apply. You must give way.",I allow any cross traffic the right of way,I wait at the stop line for the next set of green lights,"I drive through the junction quickly, because ""yellow"" is displayed",,,,,,,
1.2.38-001,en,tr,A vehicle with flashing blue light and siren is approaching. What do you do?,"A blue flashing light and siren are used in emergency situations such as car accidents or house fires. For this reason, you have to clear a passage for the emergency vehicles as fast as you can. Therefore, slowly reduce your speed and drive to the right edge of the road. If necessary, drive on the sidewalk and stay there.",Clear the way for the vehicle,Drive carefully onto the pavement if necessary,"At all events, brake hard and stop",,,,,,,
