questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.2.23-020,en,tr,Where are you allowed to store luggage on motorcycles?,"You can store luggage in the tank-top bag, panniers (equally distributed on the right and left), luggage rack, handlebars.",In panniers or on the luggage rack,In the tank-top bag,Evenly distributed on the right and left of the handlebars,,Fren lambasını kontrol etmek için hangisi doğrudur?,"Fren lambası, el freni ve ayak freni ayrı ayrı uygulanarak kontrol edilmelidir.",El freni ve ayak freni sırayla uygulanır,El freni ve ayak freni aynı anda uygulanır,Sadece el freni uygulanır,
2.2.23-021,en,tr,How must you protect yourself from serious head injuries?,An officially approved protective helmet is required to protect your head against injuries,- an officially approved protective helmet,- a steel helmet,- a tested protective work helmet,,Kötü çizilmiş kask vizörünün etkileri nelerdir?,Kötü çizilmiş vizör kendi görüşünüzü bozar ve normalden daha fazla kamaşmaya neden olur. Gündüz de olumsuz etkileri olabilir.,Kullanıcı normalden daha fazla kamaşır,Kendi görüşü bozulur,Gündüz olumsuz etkisi yoktur,
2.2.23-026,en,tr,What applies to the installation and use of rear-view mirrors on motorcycles?,"In order to be able to use your rearview mirror, you must ensure that they are well fixed, adjusted, and work (are not cracked, blind)",They must be fixed and adjusted properly,They must neither be cracked nor blind,A mirror on the right replaces the look over your shoulder,,Motosiklet kullanırken uygun botları neden giymelisiniz?,"Uygun botlar, motosiklet dururken devrilse bile ciddi ayak yaralanmalarına karşı korur ve hava şartlarına bağlı üşümeyi azaltır. Hava direncini azaltmaz.",Motosiklet dururken devrilse bile ciddi ayak yaralanmaları yaşayabilirsiniz,Hava koşullarına bağlı üşüme sağlığınıza zarar verebilir,Çünkü hava direnci azalır,
2.2.23-027,en,tr,What is required when the motor liability insurance of your vehicle has expired?,"It is required to have an insurance for your vehicle, without one you are not allowed to drive it",- may no longer be used in road traffic,- must be submitted to the technical test centre,,,Motosiklet sürücüsünün güvenlik ekipmanına hangi parçalar dahildir?,Uygun ceket ve uygun pantolon güvenlik ekipmanıdır. Spor ayakkabı yeterli koruyucu ekipman değildir.,Uygun ceket,Uygun pantolon,Spor ayakkabı,
2.2.23-031,en,tr,What can prevent you from hearing warning signals?,"Other sounds, such as a loud radio or a loud exhaust, can prevent car drivers from perceiving important warning signals. Also, the use of headphones usually limits the ability to hear. This often means that warning signals are ignored by drivers. Make sure that you can always hear warning signals.",Having the radio on too loud,Using headphones,The exhaust being too loud,,Motosikletliler neden uygun koruyucu kask takmak zorundadır?,Uygun kask baş yaralanmalarını mümkün olduğunca önlemek içindir. Radyo dinlemeyi kolaylaştırmak veya hava direncini azaltmak için değildir.,Baş yaralanmalarını mümkün olduğunca önlemek için,Radyoyu daha kolay dinlemek için,Yüksek hızda hava direncini azaltmak için,
2.2.23-033,en,tr,You have sold your vehicle which is still registered. The buyer has paid. What must you do?,"If you have sold your licensed vehicle and received the payment, proceed as follows: 1. You hand over all vehicle documents to the new vehicle owner in exchange for a confirmation of receipt. 2. You report the name and address of the vehicle buyer to the admission office. This way, you protect yourself from unjustified claims that could be caused by traffic violations on the part of the new owner. 3. The inspection plate remains on the vehicle.",Inform the registration centre immediately of the buyer's name and address,Hand over the vehicle registration certificate (Fahrzeugschein) and vehicle registration book (Fahrzeugbrief) or permit for use (Betriebserlaubnis) to the buyer against receipt,Remove the test stamp from the official registration plate,,Motosiklet kıyafetinde hangi renkler fark edilmeyi artırır?,Parlak ve açık renkli kıyafetler görünürlüğü artırır. Koyu renkler daha zor fark edilir.,Parlak renkli kıyafet,Açık renkli kıyafet,Koyu renkli kıyafet,
2.2.23-034,en,tr,What is important with regard to the official registration plates?,"For license numbers, it is important that they are placed in the required place. In addition, they must be easy to read and illuminated in the dark.",They must be securely attached at the appropriate places,They must always be easily legible,The rear registration plates must be lit up in darkness,,Yola çıkmadan önce ne yapmalısınız?,"Motosikletin yol ve işletme güvenliğini, kask vizörünü ve kıyafetlerin vücuda oturmasını kontrol etmelisiniz. Çantaların doğru sabitlendiğini de kontrol edin.",Motosikletin yol güvenliğini ve işletme güvenliğini kontrol etmek,Kask vizörünü ve vücuda oturan kıyafeti kontrol etmek,Yan çantaların ve topcase’in doğru sabitlendiğini kontrol etmek,
2.2.23-035,en,tr,What is required when your vehicle is no longer covered by motor liability insurance?,"Without a valid liability insurance, a car is not ready to drive and therefore may not participate in public transport. The liability insurance serves to regulate damage that you may be able to inflict on other vehicles. Irrespective of the financial circumstances of the injuring party, compensation for the injured party is thus guaranteed. If there is no liability insurance, the holder must deregister the car at the admission office. Failure to comply with this rule will result in a penalty.",- may no longer be used in road traffic,- must be de-registered at the registration centre,- must be submitted to the registration centre,,Vücuda oturmayan kıyafet giyerseniz ne olabilir?,Yüksek hızda dalgalanan kıyafet yol güvenliğini etkiler ve aynadaki görüşünüzü azaltabilir. Hava direncini azaltmaz.,Yüksek hızda dalgalanan kıyafet yol güvenliğini etkiler,Şişen kıyafet dikiz aynasındaki görüşünüzü azaltır,Şişen kıyafet hava direncini azaltır,
2.2.23-036,en,tr,What are you allowed to change on the official registration plate?,"A license number is an official document, which may not be altered in any way. Therefore, do not attach any foils or stickers to your license plate.",Nothing,Attach a protective foil for the lettering,Attach coloured stickers,,Motosiklet sürücüsünün koruyucu kıyafetine neler dahil olmalıdır?,Vücuda oturan motosiklet ceketi ve sırt koruyucu uygun koruyucu kıyafetin parçalarıdır. Alçak ayakkabılar uygun değildir.,Vücuda oturan motosiklet ceketi,Sırt koruyucu,Alçak ayakkabılar,
2.2.23-038,en,tr,"As a cyclist, what must you check before commencing your journey?","Before starting your trip, make sure that your lights and tires are in good condition and work properly.",Condition of tyres,Lighting,First-aid material,,Motosiklet kullanırken hangi kıyafetler görünürlüğünüzü artırır?,Görünürlüğü yüksek kıyafetler ve karanlıkta retroreflektif ayrıntılı kıyafetler diğer yol kullanıcılarının sizi daha iyi görmesini sağlar. Uzun farla sürmek doğru çözüm değildir.,Görünürlüğü yüksek kıyafet giymek,Karanlıkta retroreflektif detaylı kıyafet giymek,Uzun far açık sürmek,
2.2.23-039,en,tr,"What do we mean by the term ""blind spot""?","In blind spots you can not see other road users. Areas around the vehicle that can not be seen even with the vehicle mirrors, count as such. The other two answers are wrong.",Areas around the vehicle not visible even with the vehicle's mirrors,Areas in inner cities not accessible to vehicles due to the restrictions on visibility,Areas of the roadway which cannot be driven over due to the wide turning circle of my vehicle,,İki tekerlekli aracınızla hareket etmeden önce neyi kontrol etmelisiniz?,Hareket etmeden önce ışıkların ve frenlerin düzgün çalıştığını kontrol etmelisiniz. Ateşleme zamanlaması sürücünün günlük kontrolü değildir.,Işıkların düzgün çalışması,Frenlerin düzgün çalışması,Ateşleme zamanlaması ayarı,
2.2.23-040,en,tr,"While you are driving a car you get a call on your mobile phone. What must you be aware of here, if you do not have a hands-free set?","You must keep the cellphone ringing. Taking or holding the phone is generally prohibited for motorists and can lead to high fines. If necessary, stop at the nearest convenient location. First turn off the engine. Only now you are allowed to take your phone into your hands.",The journey must be interrupted in order to use the telephone,The engine must be switched off in order to use the telephone,A mobile phone may not be used for more than 15 seconds while driving,,Motosiklet sürerken tam kapalı kask takmanın faydası nedir?,"Tam kapalı kask yaralanmalara karşı daha iyi koruma sağlar, böceklerden korur ve ıslanmayı azaltır.",- yaralanmalara karşı,- böceklere karşı,- ıslanmaya karşı,
2.2.23-042,en,tr,What can be the consequence of your passenger (pillion passenger) on the motorbike not wearing conspicuous clothing?,"If your passenger does not wear highly visible clothes (conspicuous clothes), it will make you less visible for people driving behind you",- more difficult to recognise for the following traffic,- more difficult to recognise for the traffic ahead,- more difficult to recognise for oncoming traffic,,Sürüş sırasında uyarı sinyallerini kaçırmanıza ne neden olabilir?,Çok yüksek sesle müzik dinlemek ve telefon görüşmesi sırasında dikkatin dağılması uyarı sinyallerini kaçırmanıza neden olabilir. Düşük motor devri bu açıdan belirleyici değildir.,Yüksek sesle müzik dinlemek,Telefon görüşmesi sırasında dikkatin dağılması,Düşük motor devrinde sürmek,
2.2.23-043,en,tr,Why can motorcycles be overseen despite having their dipped headlights switched on?,Motorcycles are easy to miss because they are small and even more so if they are fast and wear clothes that are hard to see,Because they are narrower than cars,"Because if highly accelerated, motorcycles can approach extremely quickly",Because the persons onboard sometimes drive wearing inconspicuous clothing,,İki tekerlekli araçtaki dikiz aynasının düzgün çalışması nasıl sağlanır?,Dikiz aynası doğru ayarlanmış ve hasarsız olmalıdır. Gerekli görüşü sağlamak için gidonun yanından dışarı taşabilir.,- doğru ayarlanmış olmalıdır,- hasarlı olmamalıdır,- gidonun yanından dışarı taşmamalıdır,
2.2.23-044,en,tr,What may be expected if you do not wear conspicuous protective motorcycle clothing when riding a motorbike?,"If you do not wear highly visible clothes (conspicuous clothes), you will be less visible to other drivers, people on the road and will thus have a higher risk of accidents",I am more difficult to see,I have an increased risk of having an accident,I may anticipate no negative effects,,Baş yaralanmalarına karşı kendinizi korumak için ne yapmalısınız?,Uygun ve iyi oturan motosiklet kaskı takmalısınız. Motosiklet şapkası veya iş güvenliği kaskı yeterli değildir.,"- uygun, iyi oturan motosiklet kaskı",- bakımlı motosiklet şapkası,- resmi olarak kontrol edilmiş iş güvenliği kaskı,
2.2.23-045,en,tr,Why is it extremely advisable to wear protective motorcycle clothing during the journey?,Protective motorcycle clothes will protect you against injuries in case of an accident. It does not reduce aquaplaning nor protect the motorcycle.,Injuries may be reduced in the event of a fall,Aquaplaning can be prevented during rainy conditions,"In the event of accidents, the motorbike will be protected from damage",,Çizilmiş bir kask vizörünü neden değiştirmelisiniz?,Çizilmiş vizör görüşü kısıtlar ve kamaşmayı artırır. Bu nedenle değiştirilmelidir.,- görüşü kısıtlar,- kamaşmayı artırır,- vizörün daha fazla buğulanmasına neden olur,
2.2.23-046,en,tr,"What statements apply to the term ""blind spot""?","In the blind spot you can not see by means of mirrors. Especially for bikers, this is particularly dangerous. The navigability of the Tropic has nothing to do with it and is wrong.",- is particularly dangerous for cyclists,- is not visible even with mirrors,- cannot be driven over due to the turning circle,,Motosikletle giderken uygun koruyucu kıyafet giymezseniz neyi hesaba katmalısınız?,"Düşme halinde yaralanma riskiniz artar, hava koşullarına karşı daha az korunursunuz ve kaza durumunda sigorta ödemeleri azalabilir.",Düşme halinde yaralanma riskim artar,Hava koşullarının etkilerine karşı daha az korunurum,Kaza durumunda sigorta ödemelerimin azaltılmasını hesaba katmalıyım,
2.2.23-047,en,tr,What lighting is permissible so that you can be seen as early as possible in road traffic during day-light?,During the day in order to be visible you are permitted to use dipped headlights and daytime running lights,Dipped headlights,Daytime running lights,Parking light,,Motosikletinize takılı navigasyon cihazı kullanmak istiyorsunuz. Neye dikkat etmelisiniz?,"Hedefi motosiklet dururken girmeli, mümkünse sürüş sırasında cihazı kullanmaktan kaçınmalı ve kulaklığa entegre sesli yönlendirmeyi kullanmalısınız.",- hedefi motosiklet dururken girmek,- mümkünse sürüş sırasında cihazı kullanmaktan kaçınmak,- kulaklığa entegre sesli çıkış işlevini kullanmak,
2.2.23-048,en,tr,You want to exit a parking space and drive onto the road. What must you watch out for in particular?,You should also check on the vehicle especially to children playing. To the possible swiveling out of your vehicle and on the flow of traffic. All three are correct.,For children playing around the vehicle,For moving traffic,For my vehicle swinging out sharply,,Motosiklet sürücüsü için uygun koruyucu kıyafete neler dahil olmalıdır?,Vücuda oturan motosiklet ceketi ve sırt koruyucu uygun koruma sağlar. Alçak ayakkabılar yeterli koruma değildir.,Vücuda oturan motosiklet ceketi,Sırt koruyucu,Alçak ayakkabılar,
2.2.23-049,en,tr,Why is it risky to ride without protective motorcycle clothing?,Wearing protective motorcycle clothing will decrease the risk of injury in case of accident and will also protect you against the weather. In case of an accident insurance cover will be reduce if you do not wear protective clothing,- an increased risk of injury,- less protection from weather conditions,- less insurance cover available should a damage event occur,,Motosiklet kullanırken neden uygun motosiklet botları giymelisiniz?,Motosiklet dururken devrilse bile ciddi ayak yaralanmaları olabilir. Hava koşulları aracın kullanımını etkileyebilir ve kaza halinde sigorta talepleri azaltılabilir.,- motosiklet dururken devrilirse ciddi ayak yaralanmaları olabilir,- kaza sigortası talepleri azaltılabilir,- hava koşulları aracın kullanımını kısıtlayabilir,
2.2.23-050,en,tr,Why should you wear protective motorcycle clothing with a high-visibility colouring?,Wearing highly visible colours will make you easier to see and will thus reduce the risk of accidents,Because it means others can see me better,Because it reduces the risk of an accident,Because it means I can still drive home if my lights fail,,Neden görünürlüğü yüksek renkte koruyucu motosiklet kıyafeti giymelisiniz?,Görünürlüğü yüksek renkler diğer yol kullanıcılarının sizi daha iyi görmesini sağlar ve kaza riskini azaltır.,Çünkü başkaları beni daha iyi görebilir,Çünkü kaza riskini azaltır,Çünkü ışıklarım arızalanırsa yine eve sürebilirim,
2.2.23-051,en,tr,As a motorcyclist what should you do to make yourself more visible to others during the daytime?,"In order to be more visible and reduce the risk of accidents during the daytime, you should wear highly visible protective clothes and use either the dipped headlights or daytime running lights",By wearing high-visibility protective motorcycle clothing,By driving with dipped headlight or daytime running lights switched on,By driving with the main beam light on,,Motosiklet sürücüsü olarak gündüzleri başkalarının sizi daha iyi görmesi için ne yapmalısınız?,Gündüz görünürlüğü artırmak için görünürlüğü yüksek koruyucu motosiklet kıyafeti giymeli ve kısa far veya gündüz farı açık sürmelisiniz. Uzun far kullanmak doğru değildir.,Görünürlüğü yüksek koruyucu motosiklet kıyafeti giyerek,Kısa far veya gündüz farı açık sürerek,Uzun far açık sürerek,
2.2.23-052,en,tr,You want to make a right turn within a built-up area. What risks could arise here?,"3 answers are correct. There is both a danger straight run cyclist to miss, as well as pedestrians and compromising by too wide arc oncoming traffic.",- fail to see cyclists travelling straight ahead,- fail to see pedestrians,- endangering oncoming traffic by following an excessively wide turning circle,,Yerleşim içinde sağa dönmek istiyorsunuz. Burada hangi riskler ortaya çıkabilir?,Sağa dönerken düz giden bisikletlileri ve yayaları görmeyebilirsiniz. Çok geniş dönüş yayı karşı trafiği tehlikeye atabilir.,- düz giden bisikletlileri görmemek,- yayaları görmemek,- aşırı geniş dönüş yayıyla karşı trafiği tehlikeye atmak,
2.2.23-053,en,tr,"As the vehicle owner, what change must you report to the relevant licensing authority?","If you change your name or place of residence, you must notify the vehicle licensing authority. However, you do not have to report the change in your liability insurance.",- my home address,- my name,- my third-party insurance,,Araç sahibi olarak hangi değişikliği ilgili tescil makamına bildirmelisiniz?,Adınız veya ikamet adresiniz değişirse araç tescil makamına bildirmeniz gerekir. Zorunlu mali sorumluluk sigortasındaki değişiklik bu kapsamda değildir.,- ikamet adresim,- adım,- zorunlu mali sorumluluk sigortam,
