questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.1.07-172-M,en,tr,What is the correct course of action in this situation?,"If a cyclist suddenly comes from the left, you must do an emergency stop.",I perform an emergency braking manoeuvre,"I continue driving, ready to brake",I accelerate,,Bu durumda doğru davranış nedir?,Soldan aniden bir bisikletli gelirse çarpışmayı önlemek için acil frenleme yapmalısınız.,Acil frenleme yaparım,Frenlemeye hazır şekilde sürmeye devam ederim,Hızlanırım,
1.1.07-173,en,tr,"While driving, a deer crosses the road in front of your vehicle. What should you be aware of?","A deer is very unpredictable, maybe it runs back into the forest, maybe it will stop in the middle of the street. You should therefore reduce your speed and follow what is happening, as other animals can also step on the road.",Other animals might follow the deer,The deer might stop in the middle of the road,I can scare off the deer by turning on my main beam lights,,Sürüş sırasında bir geyik aracınızın önünden yolu geçiyor. Neye dikkat etmelisiniz?,Geyikler öngörülemez davranabilir. Yolda durabilir veya başka hayvanlar onu takip edebilir. Bu nedenle hızınızı azaltmalı ve dikkatli olmalısınız.,Geyiğin ardından başka hayvanlar gelebilir,Geyik yolun ortasında durabilir,Uzun farlarımı yakarak geyiği kaçırabilirim,
1.1.07-174-M,en,tr,What is the right course of action?,"As the lorry in front of you is parking in reverse, you must continue to slow down. You can only change lanes when the lane to your left is free. Stay in your lane for the time being and continue braking.",I continue braking,I remain waiting in my lane for now,I steer to the left now,,Doğru davranış nedir?,Önünüzdeki kamyon geri geri park ediyor. Sol şerit boşalana kadar kendi şeridinizde kalmalı ve frenlemeye devam etmelisiniz.,Frenlemeye devam ederim,Şimdilik kendi şeridimde beklerim,Şimdi sola direksiyon kırarım,
1.1.07-175-M,en,tr,What should you anticipate in this situation?,"You are driving on a turning priority road. Anyone leaving a priority road must give way to vehicles following the priority road.
The yellow car flashes and turns left. Although it does not have right of way, at its high speed it will not be able to stop without coming into your lane. You should therefore brake and give up your right of way to avoid a collision. The obligation to avoid accidents takes precedence over all right of way rules.",That [the yellow car] will turn left,That I will have to yield my right of way,That [the pedestrian] will cross the road,,Bu durumda neyi hesaba katmalısınız?,Siz dönen bir öncelikli yoldasınız. Sarı araç hızlı şekilde sola dönüyor ve şeridinize girebilir. Kazayı önlemek için gerekirse önceliğinizden vazgeçmelisiniz.,[Sarı aracın] sola döneceğini,Öncelik hakkımdan vazgeçmem gerekeceğini,[Yayanın] yolu geçeceğini,
1.1.07-176-M,en,tr,What is the right behaviour now?,"In the left side mirror you can see that a car behind you is about to overtake. At the same time, the person on the bike on the right in front of you could move onto the road. A truck is also coming towards you on the opposite lane. All three factors lead to a narrow roadway and thus increase the risk of accidents.
In this situation you have to brake to avoid a collision with the overtaking car and the cyclist.",I brake,I swerve to the left,I continue to drive steadily,,Şimdi doğru davranış nedir?,"Arkanızdaki araç sollamak üzere, sağdaki bisikletli yola çıkabilir ve karşıdan kamyon geliyor. Çarpışmayı önlemek için fren yapmalısınız.",Fren yaparım,Sola kaçarım,Sabit şekilde sürmeye devam ederim,
1.1.07-201-M,en,tr,What is the right course of action in this situation?,"The cyclist from the left does not seem to slow down, so brake sharply.",I brake very sharply,I sound my horn and continue driving,I steer to the right,,Bu durumda doğru davranış nedir?,Soldan gelen bisikletli yavaşlamıyor gibi görünüyor. Çarpışmayı önlemek için çok sert fren yapmalısınız.,Çok sert fren yaparım,Korna çalarak devam ederim,Sağa direksiyon kırarım,
1.1.07-202-M,en,tr,Why must you brake now?,"Because the cyclist wants to be in your lane, brake because of the cyclist.",Because of [the cyclist],Because of [the red vehicle],Because of the bus stop,,Şimdi neden fren yapmalısınız?,Bisikletli sizin şeridinize girmek istiyor. Bu yüzden bisikletli nedeniyle fren yapmalısınız.,[Bisikletli] nedeniyle,[Kırmızı araç] nedeniyle,Otobüs durağı nedeniyle,
1.1.07-203-M,en,tr,What must you watch out for now?,The cyclist on the right is riding on the roadway. There is a cyclist on the left whom we must let go first as a result of our turning procedure.,For [the cyclist] on the left,For [the cyclist] on the right,For the [blue] car,,Şimdi neye dikkat etmelisiniz?,Sağdaki bisikletli taşıt yolunda gidiyor. Sola dönerken soldaki bisikletliye de öncelik vermelisiniz.,Soldaki [bisikletliye],Sağdaki [bisikletliye],[Mavi] arabaya,
1.1.07-204-M,en,tr,What should you anticipate in this situation?,"As you are driving behind a large vehicle, it can quickly happen that you are overlooked by oncoming traffic. The danger sign warns of rolling gravel on the road.",The driver of the [yellow] car fails to see me,There are loose chippings on the roadway,"The tractor in front of me, will turn right",,Bu durumda neyi hesaba katmalısınız?,Büyük bir aracın arkasında gittiğiniz için karşıdan gelenler sizi kolayca fark etmeyebilir. Ayrıca işaret yolda gevşek mıcır olduğunu gösterir.,[Sarı] aracın sürücüsü beni görmeyebilir,Yolda gevşek mıcır var,Önümdeki traktör sağa dönecek,
1.1.07-205-M,en,tr,You are driving outside of a built-up area. What is the correct course of action in this situation?,"This is not a protected cycle path. You may therefore continue to use the cycle path.
When entering another road, you must make sure that the road is clear. There is a ""Give way"" sign here. This means that the cyclists on the other side of the road have the right of way and you must wait. You should check for yourself that the road is clear.
You must still make sure that the road is clear for crossing.",I only continue driving once I have reassured myself that the road is clear,"I do not have to reassure myself that the road is clear, because [the cyclist] is moving",I may no longer continue using the cycle path,,Yerleşim yeri dışında sürüyorsunuz. Bu durumda doğru davranış nedir?,Burada 'Yol ver' işareti vardır. Karşıdaki bisikletliler önceliklidir. Yola devam etmeden önce yolun açık olduğundan emin olmalısınız.,Yolun açık olduğundan emin olduktan sonra devam ederim,[Bisikletli] hareket ettiği için yolun açık olduğundan emin olmama gerek yok,Bisiklet yolunu artık kullanamam,
1.1.07-206-M,en,tr,Why should you be ready to brake now?,"The brown vehicle has just stopped, there is a high risk that a person will get out hastily and carelessly in the next moment. Therefore, you must be ready to brake.",Because the driver of the brown vehicle could exit the vehicle,Because [the pedestrian] could walk out onto the road,Because the bus could move across onto my lane,,Şimdi neden frenlemeye hazır olmalısınız?,Kahverengi araç az önce durmuştur. Sürücü veya yolcu dikkatsizce kapıyı açıp inebilir. Bu yüzden frenlemeye hazır olmalısınız.,Kahverengi aracın sürücüsü araçtan inebilir,[Yaya] yola çıkabilir,Otobüs benim şeridime geçebilir,
1.1.07-207-M,en,tr,What is the right thing to do in this situation?,The cyclist is obviously crossing the road without paying attention to the traffic situation and without braking. Use emergency braking to avoid a collision.,I perform an emergency braking manoeuvre,"I continue driving, ready to brake",I move towards the right,,Bu durumda doğru davranış nedir?,Bisikletli trafiğe dikkat etmeden yolu geçiyor ve fren yapmıyor. Çarpışmayı önlemek için acil frenleme yapmalısınız.,Acil frenleme yaparım,Frenlemeye hazır şekilde sürmeye devam ederim,Sağa doğru giderim,
1.1.09-001,en,tr,A motorist has had too much alcohol to drink and therefore must not drive. How is it not possible for him to recover his ability to drive in a short time?,"After heavy consumption of alcohol, there's no quick way to restore your ability to drive. Neither sleeping nor walking is enough. The alcohol concentration in the blood also does not change by drinking strong coffee. The body breaks down only about 0.1 permille alcohol per hour.",- sleeping for half an hour,- drinking two cups of strong coffee,- going for a walk for half an hour,,Bir sürücü çok fazla alkol almıştır ve bu nedenle araç kullanamaz. Kısa sürede sürüş yeteneğini nasıl geri kazanamaz?,"Alkolün vücuttan atılması zaman alır. Kısa uyku, kahve veya yürüyüş sürüş yeteneğini kısa sürede geri getirmez.",- yarım saat uyuyarak,- iki fincan sert kahve içerek,- yarım saat yürüyüş yaparak,
1.1.09-003,en,tr,Which substances can impair fitness to drive in a similar way to alcohol?,"Drugs, in particular, change perceptions and impair the ability to respond quickly and appropriately. Because of this, drug use of any kind make you unfit to drive. Even some medicines can impair your driving abilities. If you are prescribed medication by the doctor, pay attention to the instructions in the instruction leaflet.",Certain medicines and intoxicants,A cup of coffee,A cup of tea,,Hangi maddeler sürüş yeteneğini alkole benzer şekilde bozabilir?,Bazı ilaçlar ve uyuşturucu maddeler sürüş yeteneğini alkol gibi bozabilir.,Bazı ilaçlar ve uyuşturucu maddeler,Bir fincan kahve,Bir fincan çay,
1.1.09-004,en,tr,What can impair fitness to drive?,"Anything that negatively affects the sense organs can reduce the ability to drive. In addition to drugs, this includes medications, so you should read the package leaflet before taking them. At a blood alcohol level of 0.3 permille, you are already unfit to drive. Fatigue is one of the most common causes of accidents. Here your attention and concentration cease, and this can lead to so-called microsleep.",Fatigue,Alcohol and other intoxicants,Certain medicines,,Sürüş yeteneğini ne bozabilir?,"Yorgunluk, alkol, diğer uyuşturucu maddeler ve bazı ilaçlar sürüş yeteneğini bozabilir.",Yorgunluk,Alkol ve diğer uyuşturucu maddeler,Bazı ilaçlar,
1.1.09-006,en,tr,"In general, how long does it take before an alcohol level of 1.0 per mille (100 mg/100 ml) is cleared from the blood stream?","The rule of thumb is: 0.1 permille is being broken down per hour. After 10 hours, 1.0 permille are completely degraded.",10 hours,5 hours,1 hour,,"Genel olarak 1,0 promil alkol seviyesinin kandan temizlenmesi ne kadar sürer?","Vücut alkolü yavaş parçalar. 1,0 promilin temizlenmesi genel olarak yaklaşık 10 saat sürer.",10 saat,5 saat,1 saat,
1.1.09-007,en,tr,What can increase the intoxicating effect of alcohol?,"The effect of alcohol is enhanced by medication. Especially large amounts of alcohol in combination with sleeping pills, painkillers or tranquilizers can be life-threatening. If you drink alcohol on an empty stomach or consume a large amount of alcohol in a short period of time, the alcohol enters your blood immediately: you are suddenly dead drunk.","Sleeping pills, pain killers or sedatives","Drinking on an ""empty"" stomach",Downing alcoholic drinks in one,,Alkolün sarhoş edici etkisini ne artırabilir?,"Uyku ilaçları, ağrı kesiciler, sakinleştiriciler, aç karnına içmek ve içkileri birden içmek alkol etkisini artırabilir.","Uyku ilaçları, ağrı kesiciler veya sakinleştiriciler",Aç karnına içmek,Alkollü içecekleri birden içmek,
