questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.4.41-164,en,ru,What does this traffic sign combination indicate?,"This sign means ""Danger zone"" and the additional sign stands for ""Winter sports allowed"". The combination indicates that winter sportspersons may use the road and road users must pay particular attention to it.",- may be used by winter sports enthusiasts,- may not be used by traffic in winter,- may only be used with snow chains,,Что означает эта комбинация дорожных знаков?,"Этот знак означает «опасный участок», а дополнительная табличка — «разрешены зимние виды спорта». Такая комбинация указывает, что участники зимних видов спорта могут пользоваться дорогой, поэтому участники дорожного движения должны быть особенно внимательны.",- может использоваться любителями зимних видов спорта,- не может использоваться транспортом зимой,- может использоваться только с цепями противоскольжения,
1.4.41-165,en,ru,What do you have to be aware of in this traffic situation?,"You must not drive over the lane boundary (solid line) to the left, which is located at the middle of the lane. Driving on it is also prohibited.",- not cross the lane marking,- cross the lane marking in order to overtake,- cross the lane marking if oncoming traffic permits this,,На что Вы должны обратить внимание в этой дорожной ситуации?,Нельзя пересекать расположенную слева посередине проезжей части сплошную линию разметки. Движение по ней также запрещено.,- не пересекать линию разметки,- пересечь линию разметки для обгона,"- пересечь линию разметки, если встречный транспорт это позволяет",
1.4.41-166,en,ru,What must you be aware of on this priority road?,The solid line in the middle between the two lanes prohibits crossing or crossing this line. It also prohibits parking on priority roads outside of built-up areas.,Parking is prohibited,You may not cross the lane marking,Parking is permitted if there is a clear space of at least 3 m between a parked car and the lane marking,,На что Вы должны обратить внимание на этой главной дороге?,"Сплошная линия посередине между двумя полосами запрещает пересекать её или наезжать на неё. Кроме того, вне населённых пунктов на главных дорогах запрещена парковка.",Парковка запрещена,Нельзя пересекать линию разметки,"Парковка разрешена, если между припаркованным автомобилем и линией разметки остаётся не менее 3 м",
1.4.41-167,en,ru,You want to overtake. What is the right thing to do?,You may overtake if other road users are not endangered. The one-sided lane boundary allows you to cross the two lines from the side where the broken line is located.,- overtake,- not overtake,"- only overtake, if I remain in the right-hand lane while doing so",,Вы хотите совершить обгон. Как поступить правильно?,"Обгон разрешён, если при этом не создаётся опасность для других участников движения. Односторонняя линия разметки позволяет пересекать две линии со стороны, где находится прерывистая линия.",- совершить обгон,- не совершать обгон,"- обгонять только в том случае, если при этом я остаюсь на правой полосе",
1.4.41-168,en,ru,"As a resident, you want to drive into a cycle highway that has this sign. What must you be aware of when doing so?","A maximum speed of 30 km/h applies to traffic. Cycling traffic must not be endangered or obstructed. If necessary, motor vehicle traffic must reduce speed further. Side-by-side cycling is permitted.",Vehicles may not be driven faster than 30 km/h,Cycles may travel alongside one another,Cycle traffic may not be impeded,,"Как житель, Вы хотите въехать на велосипедную магистраль с таким знаком. На что нужно обратить внимание?",Для движения действует максимальная скорость 30 км/ч. Велосипедистов нельзя подвергать опасности или препятствовать им. При необходимости транспортные средства должны ещё больше снизить скорость. Велосипедистам разрешено ехать рядом друг с другом.,Транспортные средства не должны двигаться быстрее 30 км/ч,Велосипедисты могут ехать рядом друг с другом,Велосипедному движению нельзя препятствовать,
1.4.41-169,en,ru,Who may enter a street that has this sign?,Vehicular traffic other than cyclists may not use cycle lanes unless permitted by additional sign. The additional sign allows residents to enter the bicycle lane.,All cyclists,All persons visiting residents,All moped riders,,Кому разрешено въезжать на улицу с таким знаком?,"Транспортным средствам, кроме велосипедов, запрещено пользоваться велосипедными улицами, если это не разрешено дополнительной табличкой. Дополнительная табличка разрешает жителям въезд на велосипедную улицу.",Всем велосипедистам,"Всем лицам, посещающим жителей",Всем водителям мопедов,
1.4.41-170,en,ru,This road traffic sign is displayed for your lane. What must you be aware of?,"This traffic sign indicates the prescribed minimum speed. You must therefore drive at least 60 km/h, provided that the road and traffic conditions allow it.","I must drive at a minimum speed of 60 km/h, if permitted by the road and traffic conditions",I may only use this lane if my vehicle can and is allowed to drive at a speed of least 60 km/h,I may not drive faster than 60 km/h,,Этот дорожный знак установлен для Вашей полосы. На что нужно обратить внимание?,"Этот знак указывает предписанную минимальную скорость. Поэтому Вы должны двигаться со скоростью не менее 60 км/ч, если это позволяют дорожные и транспортные условия.","Я должен двигаться с минимальной скоростью 60 км/ч, если это позволяют дорожные и транспортные условия",Я могу пользоваться этой полосой только если моё транспортное средство может и имеет право двигаться со скоростью не менее 60 км/ч,Мне нельзя ехать быстрее 60 км/ч,
1.4.41-172,en,ru,What situation applies according to this traffic sign?,The additional sign limits the speed limit between 10 pm and 6 am.,- applies between 10 pm and 6 am,- applies between 6 am and 10 pm,- does not apply to electric vehicles,,Какое правило действует согласно этому дорожному знаку?,Дополнительная табличка ограничивает действие ограничения скорости временем с 22:00 до 06:00.,- действует с 22:00 до 06:00,- действует с 06:00 до 22:00,- не действует для электромобилей,
1.4.41-173,en,ru,What should you do when you see this road sign?,"The arrow on this traffic sign always shows the direction of travel. If it is a straight arrow, you have to turn in front of the sign. If it is a curved arrow, you must turn according to the sign. 
You have to flash to indicate the change in driving direction.",- indicate left,- turn left before the traffic sign,- turn left behind the traffic sign,,"Что Вы должны сделать, увидев этот дорожный знак?","Стрелка на этом знаке всегда показывает направление движения. Если стрелка прямая, нужно повернуть перед знаком. Если стрелка изогнутая, нужно повернуть в соответствии со знаком. Для обозначения изменения направления движения необходимо включить указатель поворота.",- включить левый указатель поворота,- повернуть налево перед дорожным знаком,- повернуть налево за дорожным знаком,
1.4.42-001,en,ru,What does this traffic sign indicate?,"This traffic sign grants you priority in a specific place. Thus, the right of way for the driver is limited and has no general validity.",- only at the next crossroads or junction,- at all crossroads and junctions on this road,- as far as the urban limit,,Что означает этот дорожный знак?,Этот знак предоставляет Вам преимущество в конкретном месте. Поэтому право преимущественного проезда ограничено данным местом и не имеет общего действия.,- только на следующем перекрёстке или примыкании,- на всех перекрёстках и примыканиях этой дороги,- до границы населённого пункта,
1.4.42-005,en,ru,What does this traffic sign indicate?,The traffic sign indicates that the motorway starts here. This also gives effect to all the rules that apply to this particular type of road.,The start of an autobahn,The end of an autobahn,The start of a clearway for motor vehicles only,,Что означает этот дорожный знак?,"Знак указывает, что здесь начинается автомагистраль. Одновременно начинают действовать все правила, применимые к этому типу дороги.",Начало автобана,Конец автобана,Начало дороги только для механических транспортных средств,
1.4.42-009-M,en,ru,What do the white markings on the road mean in this situation?,"At intersections and junctions with “right before left” regulation, especially in confusing places, are also used by waiting lines. Wartelinia are often used that look as similar to many small way to go-along.",- highlight a duty to give-way due to the right-before-left rule,- indicate a traffic-calming zone,- are a warning about the poor state of the road surface,,Что означают белые линии разметки на дороге в этой ситуации?,"На перекрёстках и примыканиях с правилом «помеха справа», особенно в местах с ограниченной видимостью, также используются линии ожидания. Они часто выглядят как несколько коротких поперечных линий.",- указывают на обязанность уступить из-за правила «помеха справа»,- обозначают зону успокоенного движения,- предупреждают о плохом состоянии дорожного покрытия,
1.4.42-010-M,en,ru,What is the rule created by the road markings in this situation?,"You have to nourish yourself this intersection carefully, as it applies right to the left.
At intersections and junctions with “right before left” regulation, especially in confusing places, are also used by waiting lines. Wartelinia are often used that look as similar to many small way to go-along.",- approach the junction cautiously,- give way to the [red vehicle],- come to a stop in front of the road markings,,Какое правило создаёт дорожная разметка в этой ситуации?,"К этому перекрёстку нужно подъезжать осторожно, поскольку действует правило «помеха справа». На перекрёстках и примыканиях с этим правилом, особенно в местах с ограниченной видимостью, используются линии ожидания, похожие на множество коротких поперечных линий.",- осторожно подъехать к перекрёстку,- уступить дорогу [красному автомобилю],- остановиться перед дорожной разметкой,
1.4.42-101,en,ru,Which traffic sign gives right of way at the next crossroads?,"Only the first traffic sign gives you right of way at the next intersection. The second traffic sign, however, indicates the end of the priority road and traffic sign number three regulates the right of way at a bottleneck.",Traffic sign 1,Traffic sign 2,Traffic sign 3,,Какой дорожный знак даёт преимущество на следующем перекрёстке?,"Только первый дорожный знак даёт Вам преимущество на следующем перекрёстке. Второй знак обозначает конец главной дороги, а третий регулирует преимущество в узком месте.",Дорожный знак 1,Дорожный знак 2,Дорожный знак 3,
1.4.42-102,en,ru,Which traffic sign gives right of way?,The correct traffic sign to observe the right of way is number two. Number one indicates that a dangerous turn is in front of the driver while number three indicates the number of a national highway.,Traffic sign 2,Traffic sign 1,Traffic sign 3,,Какой дорожный знак даёт право преимущественного проезда?,"Правильный знак, регулирующий преимущество, — номер два. Номер один предупреждает об опасном повороте впереди, а номер три обозначает номер федеральной дороги.",Дорожный знак 2,Дорожный знак 1,Дорожный знак 3,
1.4.42-104,en,ru,What is allowed on priority roads outside built-up areas?,"On priority roads outside of built-up areas, you may: 1. wait at the right side of the road; 2. park on a hard shoulder. On the other hand, parking on the road is prohibited. Parking vehicles constitute a hindrance and/or danger to flowing traffic, since vehicles are traveling much faster here than within the closed local area. Since a hard shoulder is not considered a lane, you may use it for parking. If there is a possibility to dodge on a hard shoulder, you should also use this for waiting shortly.",Stopping on the right edge of the roadway,Parking on the hard shoulder,Parking on the roadway,,Что разрешено на главных дорогах вне населённых пунктов?,"На главных дорогах вне населённых пунктов разрешено: 1) останавливаться у правого края проезжей части; 2) парковаться на укреплённой обочине. Парковка на проезжей части запрещена. Припаркованные автомобили создают помеху и/или опасность для движущегося транспорта, поскольку скорость здесь выше, чем в населённом пункте. Укреплённая обочина не считается полосой движения, поэтому её можно использовать для парковки. Если есть возможность кратковременно остановиться на обочине, следует использовать её.",Остановка у правого края проезжей части,Парковка на укреплённой обочине,Парковка на проезжей части,
1.4.42-106,en,ru,What ends here?,"This traffic sign announces the change of a priority rule. It marks the end of the previous priority route. The signs ""Give way"" and ""Stop! Give way!"" that you can find on intersections and T-junctions, have a similar meaning.",A priority road,A controlled parking zone,All previous zonal prohibitions,,Что здесь заканчивается?,"Этот знак сообщает об изменении правила приоритета. Он обозначает конец прежней главной дороги. Похожее значение имеют знаки «Уступите дорогу» и «Стоп! Уступите дорогу», встречающиеся на перекрёстках и Т-образных примыканиях.",Главная дорога,Зона контролируемой парковки,Все ранее действовавшие зональные запреты,
1.4.42-107,en,ru,What do you do when you see this traffic sign?,"The traffic sign gives you priority over oncoming traffic. The oncoming traffic is obliged to wait in front of the obstacle. Nevertheless, you must prepare for stopping when oncoming traffic is already in the bottleneck. You have to let those drivers drive out. You may proceed with right of way if the bottleneck is free.",You may only take precedence when the narrowing is clear,You must be ready to stop despite taking precedence,You must give precedence to the oncoming traffic,,"Как Вы поступите, увидев этот дорожный знак?","Знак даёт Вам преимущество перед встречным транспортом. Встречный транспорт обязан ждать перед препятствием. Тем не менее Вы должны быть готовы остановиться, если встречный транспорт уже находится в узком месте. Нужно дать этим водителям выехать. Если узкое место свободно, Вы можете проехать с преимуществом.",Вы можете воспользоваться преимуществом только если сужение свободно,"Несмотря на преимущество, Вы должны быть готовы остановиться",Вы должны уступить преимущество встречному транспорту,
1.4.42-109,en,ru,What do these traffic signs allow?,This traffic sign indicates a parking lot that may only be used by residents with a correspondingly numbered parking pass. Other road users are not allowed to park there and have to switch to other parking places.,Residents holding a parking licence with corresponding number may park here,All residents may use any of these parking spaces,Everybody may use this parking space as long as other parking spaces are still free,,Что разрешают эти дорожные знаки?,"Этот знак обозначает парковку, которой могут пользоваться только жители с парковочным разрешением соответствующего номера. Другим участникам движения парковка здесь запрещена, они должны использовать другие места.",Жители с парковочным разрешением соответствующего номера могут парковаться здесь,Все жители могут пользоваться любыми из этих парковочных мест,"Любой может пользоваться этим местом, пока свободны другие парковочные места",
1.4.42-110,en,ru,Are you allowed to park here?,There are special parking spaces for people with impaired mobility or the blind. An official parking permit identifies the vehicles of these persons or their escorts. Even short parking on these areas is forbidden to other drivers.,"Yes, as a seriously disabled person with an official parking permit","Yes, as a person accompanying blind persons with an official parking permit","Yes, briefly for shopping",,Разрешено ли Вам парковаться здесь?,Существуют специальные парковочные места для людей с ограниченной подвижностью или слепых. Официальное парковочное разрешение идентифицирует транспортные средства этих лиц или сопровождающих. Другим водителям запрещена даже кратковременная парковка на таких местах.,"Да, как человеку с тяжёлой инвалидностью при наличии официального парковочного разрешения","Да, как сопровождающему слепого человека при наличии официального парковочного разрешения","Да, ненадолго для покупок",
1.4.42-111,en,ru,What must you observe when parking here?,In this parking lot you are only allowed to park with a valid ticket. Attach the parking ticket legibly behind the front or rear window of your car. Be sure not to exceed the parking time stated on the ticket. The parking disc does not replace the parking ticket: the parking disc is only valid if the parking meter is out of operation.,The parking time indicated on the parking ticket may not be exceeded,The parking ticket must be put in a place so it can be easily read when controlled,Parking ticket and parking disc rank equal,,Что нужно учитывать при парковке здесь?,"На этой парковке разрешено парковаться только с действительным парковочным билетом. Разместите парковочный билет так, чтобы его было хорошо видно за передним или задним стеклом автомобиля. Не превышайте указанное в билете время парковки. Парковочный диск не заменяет парковочный билет: он действителен только если парковочный автомат не работает.",Указанное на парковочном билете время парковки нельзя превышать,"Парковочный билет должен быть размещён так, чтобы его можно было легко прочитать при проверке",Парковочный билет и парковочный диск имеют одинаковую силу,
