questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.7.01-135,en,ru,You are planning a longer journey with a purely electric vehicle. What should you be aware of?,"If you are planning a longer journey with a purely electric vehicle, you should consider that your car has a much lower range compared to conventional vehicles. In addition, the capacity of the batteries is influenced by the outside temperature.",The availability of electric charging stations,The battery charging time,The influence of external ambient temperatures on the range,,Вы планируете длительную поездку на полностью электрическом автомобиле. Что необходимо учитывать?,"Если вы планируете длительную поездку на полностью электрическом автомобиле, следует учитывать, что запас хода у него значительно ниже по сравнению с обычными автомобилями. Кроме того, на ёмкость аккумуляторов влияет наружная температура.",Наличие зарядных станций для электромобилей,Время зарядки аккумулятора,Влияние внешней температуры окружающей среды на запас хода,
2.7.01-136,en,ru,What should you be aware of when charging purely electric vehicles?,"When charging pure electric vehicles, you must be aware that they cannot be recharged at every gas station. Only use the charging cables approved by the manufacturer. Depending on the power connection, the charging time varies.",The charge time depends on the power supply,Charging should only be performed with a charging cable approved by the manufacturer,Charging is available at every filling station,,Что необходимо учитывать при зарядке полностью электрических транспортных средств?,"При зарядке полностью электрических транспортных средств необходимо учитывать, что их нельзя зарядить на каждой автозаправочной станции. Используйте только зарядные кабели, одобренные производителем. Время зарядки зависит от мощности подключения.",Время зарядки зависит от источника питания,"Зарядку следует выполнять только зарядным кабелем, одобренным производителем",Зарядка возможна на каждой автозаправочной станции,
2.7.01-137,en,ru,How is a purely electric vehicle different from a vehicle with a combustion engine?,Pure electric vehicles are almost noiseless. These vehicles also have no direct exhaust emissions. The aerodynamic drag depends on the volume of the body and not on the type of drive.,- have a lower engine noise,- do not have any direct exhaust emissions,- have a lower aerodynamic drag,,Чем полностью электрический автомобиль отличается от автомобиля с двигателем внутреннего сгорания?,"Полностью электрические автомобили почти бесшумны. Кроме того, у таких автомобилей нет прямых выбросов отработавших газов. Аэродинамическое сопротивление зависит от формы и объёма кузова, а не от типа привода.",— имеют более низкий шум двигателя,— не имеют прямых выбросов отработавших газов,— имеют меньшее аэродинамическое сопротивление,
2.7.01-138,en,ru,You are driving a purely electric vehicle in a residential area. What should you be aware of due to your lower engine noise?,"With a pure electric vehicle, you are almost noiseless on the road and you can acoustically be hardly perceived by other road users. Especially cyclists are at risk if they hear no engine noise. Without looking back, they often turn.",Pedestrians will not notice me or will do so later than usual,"Cyclist travelling ahead will turn left, without looking behind them",Vehicles following behind will tailgate me,,Вы едете на полностью электрическом автомобиле в жилой зоне. Что необходимо учитывать из-за низкого шума двигателя?,"На полностью электрическом автомобиле вы движетесь почти бесшумно, поэтому другие участники дорожного движения могут плохо воспринимать вас на слух. Особенно подвержены риску велосипедисты, если они не слышат шума двигателя. Не оглянувшись назад, они могут повернуть.",Пешеходы не заметят меня или заметят позднее обычного,"Велосипедист, едущий впереди, может повернуть налево, не оглянувшись назад",Транспортные средства сзади будут ехать слишком близко ко мне,
2.7.01-139,en,ru,You are driving a motor vehicle fitted with anti-lock braking system (ABS). How do you achieve the shortest possible braking distance?,"If you drive a car with an automatic anti-lock braking system, you achieve the shortest braking distance by braking abruptly and with maximum pedal force. The ABS prevents the wheels from locking during braking.",- suddenly and with maximum force,- carefully and then increasingly harder,- multiple times at quick intervals and with maximum force,,"Вы управляете транспортным средством, оснащённым антиблокировочной системой тормозов (ABS). Как добиться максимально короткого тормозного пути?","Если автомобиль оснащён антиблокировочной системой тормозов, самый короткий тормозной путь достигается резким торможением с максимальным усилием на педаль. ABS предотвращает блокировку колёс при торможении.",— резко и с максимальным усилием,"— осторожно, затем всё сильнее",— несколько раз подряд с короткими интервалами и с максимальным усилием,
2.7.01-140,en,ru,A lane assist system with corrective steer control can help you when driving. What should you be aware of?,"A prerequisite for a perfect function of the lane departure warning system are good road markings. Keep in mind that technical driving assistants cannot compensate for inability to drive. As a car driver, you must be able to intervene into the driving experience at all times.",- keep the vehicle in lane if the road markings are clear,- not function if the road markings are poor,- compensate for a lack of fitness to drive (e.g. tiredness),,Система удержания полосы с корректирующим вмешательством в рулевое управление может помочь вам при движении. Что необходимо учитывать?,"Для безупречной работы системы предупреждения о сходе с полосы необходима хорошая дорожная разметка. Помните, что технические ассистенты водителя не могут компенсировать неспособность к управлению автомобилем. Водитель должен быть готов вмешаться в управление.",— удерживать автомобиль в полосе при чёткой дорожной разметке,— не работать при плохой дорожной разметке,"— компенсировать недостаточную готовность к вождению, например усталость",
2.7.01-141,en,ru,You are driving at high speed into a bend. What could happen if you had to brake suddenly?,"If you drive fast into a tight curve, you lose road grip when you brake hard and slide out of the curve. (Centrifugal force)",- could lose its grip on the road,- could skid out of the bend,- will constantly maintain its driving stability with the stability control,,"Вы на высокой скорости входите в поворот. Что может произойти, если вам придётся резко затормозить?","Если вы быстро входите в крутой поворот и резко тормозите, автомобиль может потерять сцепление с дорогой и выйти из поворота заносом. Причина — центробежная сила.",— может потерять сцепление с дорогой,— может вылететь из поворота в заносе,— будет постоянно сохранять устойчивость благодаря системе стабилизации,
2.7.01-142,en,ru,What can result in your motor vehicle skidding while driving round a bend?,"If you turn sharply, your vehicle may start to skid on bends. This can also happen if you drive too fast. Adjust your speed when cornering.",Heavy oversteer,Driving too fast,Gently accelerating at the exit of the bend,,Что может привести к заносу вашего транспортного средства при движении по повороту?,"При резком повороте автомобиль может начать заносить. Это также может произойти, если вы едете слишком быстро. При прохождении поворотов необходимо выбирать соответствующую скорость.",Сильная избыточная поворачиваемость,Слишком высокая скорость,Плавное ускорение на выходе из поворота,
2.7.01-143,en,ru,"The lane keeping assist system warns you with acoustic, haptic or optical signals. What might be the cause of this?","If you drift out of your lane, the lane departure warning system detects this by recognising that you are approaching the lane marking. The permissible total mass must not be exceeded.",My vehicle is getting close to the road markings at the side of the road,My vehicle is undercutting the safety distance to the vehicle ahead,Another vehicle is overtaking me with not enough side clearance,,"Система удержания полосы предупреждает вас звуковыми, тактильными или визуальными сигналами. Что может быть причиной?","Если вы покидаете свою полосу, система предупреждения о сходе с полосы распознаёт это по приближению к линии разметки. Допустимая полная масса не должна быть превышена.",Мой автомобиль приближается к дорожной разметке у края проезжей части,Мой автомобиль не соблюдает безопасную дистанцию до впереди идущего транспортного средства,Другое транспортное средство обгоняет меня с недостаточным боковым интервалом,
2.7.01-144,en,ru,In what situation can the lane keep assist system with steering override help you?,"On motorways and country roads, steering intervention by the lane departure warning system can be helpful, as the markings are clearly visible there.
Due to poor markings and narrow lanes in roadworks, steering intervention by the lane departure warning system is not possible as it will most likely not be detected correctly.",- on motorways,- on rural roads,- in constricted roadworks sites with poor road markings,,В какой ситуации система удержания полосы с вмешательством в рулевое управление может помочь вам?,"На автомагистралях и загородных дорогах вмешательство системы удержания полосы в рулевое управление может быть полезным, так как разметка там обычно хорошо видна. В суженных зонах дорожных работ с плохой разметкой система может работать ненадёжно.",— на автомагистралях,— на загородных дорогах,— на суженных участках дорожных работ с плохой разметкой,
