questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.1.01-006,en,ru,What results in specific risks to motorcyclists?,"If you ride with the visor open, an insect can fly into it at any time. This can be very painful and distracting. If the road surface changes, there is a risk of falling down because the grip level is different. In heavy rain, motorbikes are more likely to aquaplane than cars.",Riding with the visor open,Riding in heavy rain,Changes in the road surfacing,,,,,,,
2.1.01-007-M,en,ru,What should you do now?,"The overtaking vehicle will probably not be able to complete its overtaking manoeuvre as planned. To prevent an accident, you should let the overtaking vehicle get into the lane.",I reduce my speed so that the overtaking vehicle can pull in ahead of me,I accelerate so that the overtaking vehicle can pull in behind me,I maintain my speed because there is sufficient safety distance,,,,,,,
2.1.01-008-M,en,ru,Why should you allow the truck to change lane?,"If you are in the dead corner of the truck and the truck suddenly exhaust yourself, a dangerous situation can occur and you would have to slow down. Since there is enough space between the vehicle in front, you should take the truck into account and enable it to change lanes.",Because the driver of the truck may fail to see me,Because I should show due consideration to the truck,Because the alternate merging procedure applies here,,,,,,,
2.1.01-009,en,ru,"As a motorcyclist , why is it important that you adopt an anticipatory driving style especially on very winding stretches of road?","By riding with foresight, you can recognise the behaviour of oncoming traffic and potentially dangerous situations, such as dirt on the road or a change in cornering radius, in good time and adapt your riding behaviour accordingly.",Because the turning radius can reduce as the road continues,Because otherwise I will not be able to see dirt on the roadway in time,Because it means I am able to adjust myself in good time to the actions of oncoming traffic,,,,,,,
2.1.01-010,en,ru,"As a motorcyclist, you can easily go unnoticed by other vehicle drivers. How can you reduce this risk?","Try to put yourself in the shoes of the drivers involved so that you can better understand what they might do next. This way, you may be able to recognise a potential hazard and react to it in good time.
If you are driving in a vehicle's side blind spot, the driver will not be able to see you. If possible, drive in such a way that you are not in the blind spot for an unnecessarily long time. You should also try to make eye contact with the drivers involved before turning to ensure that they can see you.",I avoid remaining for too long in the blind spot to the side of other vehicles,I try to see the road situation from the perspective of other vehicle drivers,"Before taking a turn, I try to establish eye-contact with other drivers in my vicinity",,,,,,,
2.1.01-101,en,ru,What can cause a dangerous situation?,"If a foot brake has a strong one-sided effect, the vehicle may swing off laterally during braking. The car may skid and overturn. Therefore, unequal braking forces are extremely dangerous. Excessive steering can also lead to skidding at high speeds because you can no longer keep the lane properly. A disturbed traffic radio is not a technically dangerous defect.",Brakes which engage heavily on one side,Too much steering-wheel play,Disturbed reception of traffic information on the radio,,,,,,,
2.1.01-102,en,ru,What are the effects of listening to loud music - especially with an extremely loud bass volume - in the car?,"Loud music in the car leads to two negative effects: The driver is distracted by the music and he cannot concentrate on the road. Deep basses in particular lead to strong uncertainty in blind road users. These can lose their orientation, especially with low-frequency music.",Blind people lose their orientation when they are near the car,The driver’s attention is significantly impaired,It makes it easier for blind people to recognise where the road is,,,,,,,
2.1.01-103,en,ru,What can create a hazard when driving?,"If the dipped headlights are not working, you will see poorly on the one hand and you will be seen worse on the other. If the service brake is too one-sided, the vehicle could swerve or have a longer braking distance. If there is too much play in the steering, the steering command will not be carried out.",A service brake that responds heavily on one side,An excessive amount of play in the steering,A faulty dipped headlight,,,,,,,
2.1.02-002,en,ru,You are driving on a narrow road. About 20 m ahead of you a child suddenly runs onto the roadway. When is a collision unavoidable despite emergency braking?,"For this question, you must first calculate the thinking distance and the hazard braking distance. At 50 km/h, the thinking distance is 50/10 x 3 = 15. So, there are 15 meters of thinking distance. The hazard braking distance is determined by the following calculation: [(50/10 x 50/10) / 2] = 12.5. 50 km/h is the right answer.",50 km/h,30 km/h,20 km/h,,,,,,,
2.1.02-003,en,ru,Why do you have to brake?,You have to expect the person standing in front of the stationary truck to move to the left. Braking serves to protect the person.,Because someone is walking onto the road,Because passengers are exiting the tram,Because the truck is switching into my lane,,,,,,,
2.1.02-004,en,ru,What is the right course of action now?,"When turning right, you must always be aware of pedestrians and cyclists approaching. They may cross the road in front of you.",I stop,I continue driving as before,I accelerate,,,,,,,
2.1.02-005-M,en,ru,What must you anticipate in this situation?,"The road sign signals increased caution against children who could walk across the road between the vehicles.
In addition, you have to expect that people get off to the side of the road.",Children walking out onto the road,People exiting their vehicles via the side nearest the road,There is a pedestrian crossing up ahead,,,,,,,
2.1.02-006-M,en,ru,What is the right course of action now?,"Since a person wants to cross the intersection, you have to stop and have the person crossed the traffic light.",I stop,I continue driving as before,I accelerate,,,,,,,
2.1.03-001,en,ru,What must you reckon with when you are driving in the left-hand lane of an autobahn at high speed?,"At high speed, motorcycles are very sensitive to wind from the side. Small fast motorcycles are hard to see, other vehicles might therefore not see you.",Motorists in front of you may suddenly pull out to overtake,"Even a slight, unexpected side wind can effect road stability","If you have full beam switched on, vehicles travelling in front of you will not pull out to overtake",,,,,,,
