questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.7.06-317,en,ru,What will be the effect if the brake line hose with the yellow coupling head tears between the towing vehicle and trailer during braking?,"If the brake hose (with yellow coupling head) between the towing vehicle and the trailer comes off, the four-circuit protection valve secures the backup pressure for the service brake system of the towing vehicle and the supply distribution is automatically vented and the trailer is braked.",The four-way protection valve will secure the safety pressure for the service brake system of the towing vehicle,The supply line will be automatically vented and the trailer braked,The service brake system of the trailer will fail,,,,,,,
2.7.06-318,en,ru,A piston belonging to the pneumatic brake cylinders of your trailer is extended to its maximum during braking. What danger can this present?,The danger for you is that the braking effect of the trailer is reduced. There is no over-braking and the functionality is not affected.,The braking action of the trailer is reduced,The trailer overbrakes,The functionality of the brake power regulator is negatively impacted,,,,,,,
2.7.06-319,en,ru,You are driving a towing vehicle equipped with a compressed air-braking system. The brake line to the front-right wheel severs. What impact does this have when towing a trailer?,"If the brake line on the right front wheel breaks, you can still brake with your trailer with the service brake in full function and the braking power of the towing vehicle is reduced, which affects the overall safety.",The service brake of the trailer remains fully functional,The brake power of the towing vehicle is limited,The trailer will be automatically braked immediately,,,,,,,
2.7.06-320,en,ru,You are driving a truck and trailer with a common compressed air-braking system. What is the function of the handbrake valve control setting here?,The function of the control position of the handbrake valve (on your truck with a continuous air brake system) means that the towing vehicle is braked by the spring brake and the trailer's service brake is released.,The towing vehicle is braked via the spring-loaded brakes,The service brake of the trailer is released,The service brake of the trailer is activated,,,,,,,
2.7.06-321,en,ru,What is the effect on a truck-trailer combination when the parking brake in the towing vehicle is engaged (not in the test position)?,,The towing vehicle will be mechanically braked,"At this point, the trailer will usually only be braked with compressed air through the service brake system",The trailer will be mechanically braked,,,,,,,
2.7.06-402,en,ru,You want to drive an agricultural tractor with two trailers equipped with compressed-air brakes. What do you have to ensure you do with the manual brake power regulator on each of the trailers?,Coming soon...,Adjust the regulator setting to the load on the trailer,Adjust the regulator setting to the actual gross weight of the tractor,Adjust the regulator setting to the gross weight rating of the tractor,,,,,,,
2.7.06-403,en,ru,What is needed to ensure that the cruise control can contribute to fuel-efficiency?,Selecting the right gear can contribute to a more fuel-efficient driving style with a cruise control.,Proper gear selection,Accelerating in good time for long inclines,Fully using the maximum gross vehicle weight rating,,,,,,,
2.7.06-404,en,ru,What function is performed by an automatic load-sensitive braking system?,"causes the function of the load sensing valve, that the braking force of the actual total mass is adjusted of the vehicle.",- adjusted to the actual gross weight of the vehicle,- adjusted to the condition of the road surface,- adjusted to the vehicle speed,,,,,,,
2.7.06-405,en,ru,You want to drive a vehicle with a trailer equipped with overrun braking. What do you have to check before beginning the journey?,Note that an overrun brake is a mechanical device whose interlock must be checked before starting to drive. Also check the function of the entire lighting system and the correct attachment of the tear-off brake cable.,- that the connecting device is locked,- that the lighting system is working,- that the breakaway cable is attached,,,,,,,
2.7.06-406,en,ru,What do you have to regularly check on the air compressor?,"On the air compressor, you should regularly check the connection of the pressure line and the V-belts.",The pressure line connection,The V-belt,The speed governor,,,,,,,
2.7.07-201,en,ru,What control and service work has to be carried out regularly on a fifth wheel?,In the case of inspection and maintenance work must be the fifth wheel greased and the fixing of the frame should be controlled. Fifth wheels should always be maintained.,Lubricate the fifth wheel,Check fixing to the frame,Fifth wheels are always maintenance-free,,,,,,,
2.7.07-202,en,ru,What is the maximum wear allowed for a coupling pin on an automatic trailer coupling with a diameter of 38.0 mm when new?,The coupling pin must not exceed worn mm up to a diameter of 36.5 when he mm in new condition a diameter of 38th,Up to a diameter of 36.5 mm,Up to a diameter of 35.0 mm,,,,,,,,
2.7.07-204,en,ru,What can be the effect of longitudinal play of the tow-bar of a trailer coupling?,At length game of the tie rod can cause damage to the Traverse and the trailer can tear. The overloading of the tire does not matter.,Damage to the traverse can occur,The trailer can break loose,The tyres on the rear axle can be overloaded,,,,,,,
2.7.07-206,en,ru,Is the tow-bar of a trailer coupling allowed to have longitudinal play?,The answer is no. A tow can have no end play.,"No, longitudinal play is not permitted","Yes, up to 1.5 mm",Longitudinal play depends on the diameter of the tow-bar,,,,,,,
2.7.07-208,en,ru,What must you consider when coupling a trailer with ball coupling?,"When coupling a trailer you have to make sure that the existing support wheel is raised before departure and secured.
The coupling claw has to close securely. The ground is touched during the coupling process.",The claw of the coupling must close securely,Any support wheel must be lifted and secured before you drive off,The support wheel must not touch the ground during coupling,,,,,,,
2.7.07-209,en,ru,What must be checked after you have coupled a multiple-axle trailer to an automatic trailer coupling?,"When coupling a multi-axle trailer to an automatic trailer hitch, you should check that the coupling pin is fully engaged and the position of the control pin is checked. The angle of inclination of the trailer drawbar does not need to be checked.",The coupling pin must be fully engaged,The position of the control pin,The slope angle of the trailer’s towing fork,,,,,,,
2.7.07-302,en,ru,What must you do after attaching a semitrailer?,"After hitching a semitrailer you should produce and check and check the lock and security system of the fifth wheel, whether this closes automatically all hose and cable connections.",Check the fastening and locking system of the fifth wheel,Connect and check all hoses and cables,Release the reverse lock of the semitrailer,,,,,,,
2.7.07-303,en,ru,What is the maximum vertical play permitted for a coupling pin?,"The coupling pin must have a maximum height of 4 mm play. If it is too high, it jerky. If it is too low, the bolt when closing the clutch can not engage more.",4 mm,2 mm,6 mm,,,,,,,
