questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.2.21-008,en,uz,To what should you pay attention if you want to take a passenger on the motorbike?,"When increasing the load on your motorcycle, make sure to increase the tire pressure, adjust the chassis/suspension. Your passenger should also wear a helmet and protective gear",The passenger should also be wearing protective motorcycling clothing,The chassis should be adjusted accordingly,The tyre inflation pressure should be adjusted,,,,,,,
2.2.21-009,en,uz,What must you be aware of if you want to take a pillion rider with you?,"The passenger(s) must be physically and mentally able to ride, and the motorbike must be adequately equipped.",The motorbike must be licensed to carry 2 people,The pillion rider must be capable of riding with you,"A child pillion rider over 7 years of age, must be able to use the existing footrests and hand grips",,,,,,,
2.2.21-010,en,uz,How does riding with a pillion rider affect the handling of a motorbike?,The pillion rider's own movement destabilises the motorbike. Riding with a passenger should be practised.,It is more difficult to keep the motorbike stable,Its behaviour changes when braking,There is a reduction in its sensitivity to side winds,,,,,,,
2.2.21-011,en,uz,You want to transport a pillion passenger and luggage on your motorbike. What must you be aware of?,"You must not exceed the permissible total weight for the motorbike. This is made up of the unladen weight and the maximum permitted load. To prevent luggage from flying around, it must be securely fastened. The lighting equipment must be visible at all times and must not be obscured by the loaded luggage.",The maximum authorised mass may not be exceeded,Pieces of luggage must be securely fastened,Lighting systems may not be obscured,,,,,,,
2.2.21-012,en,uz,You want to transport a pillion passenger. What must you ensure before commencing your journey?,"In principle, when a pillion passenger is carried, the passenger seat, footrests and a holding device must be available on the motorbike. Both rider and pillion passenger must wear a suitable safety helmet while riding. To ensure a safe ride, you must instruct the pillion passenger on the correct behaviour before the ride.",- that my pillion passenger is wearing a suitable helmet,- I have instructed my pillion passenger on how to behave while we are driving on the road,- the bike's technical adjustment settings for carrying a pillion passenger are used,,,,,,,
2.2.21-013,en,uz,What should you anticipate if you want to take a pillion passenger with you?,"Be aware that the additional weight of the passenger will make your motorbike more slow and shift the centre of gravity backwards. You will therefore no longer be able to corner quite as dynamically as without a passenger.
You should also be aware that the additional weight can make your overtaking distance noticeably longer.",The vehicle's handling will be different when cornering,The overtaking distance may be longer,The braking distance will be reduced,,,,,,,
2.2.21-014,en,uz,What conditions must you fulfil to be allowed to carry a five-year-old child on your moped?,"It is required by law that you must be at least 16 years old if you want to take a child under 7 years old with you on the moped. 
Since the child is under 7 years old, you must be able to attach a special child seat to the moped. The child's height and body control are not yet sufficient to hold on to the moped safely and independently. You also need to make sure that the child's feet cannot get caught in the wheels. There are special protective devices for this, such as: B. Footrests.",- be at least 16 years old,- fit the moped with a special child seat,- make sure that the child’s feet cannot get caught in the wheels,,,,,,,
2.2.21-102,en,uz,You are driving a truck with a trailer and wish to give someone a lift as a favour. Where are you allowed to carry such a passenger?,"For safety reasons, you may only carry people inside the cab of a truck. Taking somebody with you on the load platform is not permitted. Only certain persons may exceptionally ride on the loading platform, if, for example, they are responsible for escorting the load.",In the driver's cab,On the floor of the truck,On the floor of the trailer,,,,,,,
2.2.21-103,en,uz,What must you ensure before setting off on a journey in your car?,The car driver is responsible for the safety of the passengers and the cargo. He/she must take all necessary measures to prevent or minimize damage. The loading must be carried out in accordance with regulations and must be carefully secured.,That the passengers can put on the existing safety belts,That you have an adequate view to the rear,"That no objects (e.g. first-aid kit, road atlas, camera) are lying loose on the rear parcel shelf",,,,,,,
2.2.21-104,en,uz,How are you allowed to transport a small child in your car?,Toddlers must be specially secured. This is only possible with an age-appropriate restraining device. This is to be mounted on the back seat. Infants are at risk to be suffocated by the airbag in the event of an impact. A baby seat is not secure enough.,In an approved child restraint with test mark,On the lap of an adult,In a baby carrycot on one of the back seats,,,,,,,
2.2.21-105,en,uz,How are you allowed to transport a five-year-old child in your car?,"If you want to bring a five-year-old child with you in your car, you must use a child seat that has been tested and adapted to the size of the child. This is mandatory for all children under 12 years.",In a suitable and approved child seat with test mark,In a back seat with standard three-point safety belt,On a back seat with waist belt fastened,,,,,,,
2.2.21-106,en,uz,"How are you allowed to transport an eleven-year-old child of 140 cm (4'11"") in your car?","An eleven-year-old child that is 140 cm tall needs a children's seat or a booster seat. The child is to be fastened with the belt. Children under the age of twelve or under 150 cm tall must be carried. If the strap rests on the neck, there is a risk of strangulation.",On an approved raised seat with test mark and with three-point safety belt fastened,With three-point safety belt fastened,On a back seat with waist belt fastened,,,,,,,
2.2.21-107,en,uz,What should be borne in mind when using an approved child seat with test mark?,Child seats are made for different age groups. They are safety-tested for the specified weight and size groups. You should pay attention to this when using it. The child seat may only be used on those car seats for which it is suitable and approved.,The child seat must be appropriate for the height and weight of the child,The child seat must be capable of attachment to the seat of the vehicle for which it is intended,Nothing apart from the test mark,,,,,,,
2.2.21-108,en,uz,Why is it dangerous not to wear safety belts?,"In an accident, a person may be easily thrown out of the vehicle by the impact energy, or injured in the vehicle by a collision. Already at 20 km/h the impact energy is so high that injuries can occur.",Because you cannot adequately protect yourself in case of an impact at a speed of about 20 km/h,Because in case of an accident you can be projected out of the vehicle,Because of the low speed there is no danger in urban traffic,,,,,,,
2.2.21-111,en,uz,At which impact speed must you reckon with serious or deadly injuries when no safety belt is worn?,"Without a seat belt, serious injuries can occur in a collision just over 20 km/h. This also applies to rear-end collisions which are often wrongly considered harmless. That's why you should always fasten your seat belt, even on short distances.",From 30 km/h onward,From 50 km/h onward,From 80 km/h onward,,,,,,,
