questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.2.37-011-M,en,uz,Where must you wait?,"A traffic light in operation has priority over traffic signs, which regulate the right of way. Also, if there is a stop line, stop there and wait until you are allowed to continue.",At the stop line,At the point where you can see along the intersecting road (sight line),Level with the traffic lights,,Qayerda kutishingiz kerak?,"Ishlayotgan svetofor ustunlikni tartibga soluvchi yo‘l belgilaridan ustun turadi. To‘xtash chizig‘i bo‘lsa, shu yerda to‘xtab, davom etishga ruxsat berilguncha kuting.",To‘xtash chizig‘ida,Kesishayotgan yo‘l ko‘rinadigan joyda (ko‘rish chizig‘ida),Svetofor bilan teng joyda,
1.2.37-012-M,en,uz,What is correct in this situation?,"If a traffic light turns red, car drivers who want to drive straight ahead or to the left must stop and wait. If there is an additional traffic light with a glowing green arrow pointing to the right, it is allowed to continue driving and to turn right. A traffic light without additional traffic lights or arrows, however, is valid for all directions.",Traffic turning right may proceed,Traffic continuing ahead may proceed,Traffic turning left may proceed,,Bu vaziyatda qaysi javob to‘g‘ri?,"Svetofor qizilga o‘tsa, to‘g‘ri yoki chapga ketmoqchi bo‘lgan haydovchilar to‘xtab kutishi kerak. Agar o‘ngga yo‘naltirilgan yashil strelkali qo‘shimcha svetofor yonsa, o‘ngga burilib davom etishga ruxsat beriladi. Qo‘shimcha chiroq yoki strelkasiz svetofor esa barcha yo‘nalishlar uchun amal qiladi.",O‘ngga burilayotgan transport yurishi mumkin,To‘g‘ri davom etayotgan transport yurishi mumkin,Chapga burilayotgan transport yurishi mumkin,
1.2.37-013,en,uz,What should you do?,"The traffic light switches from green to yellow directly in front of you. Your speed is 45 km/h. So, you're too fast in order to slow down and stop in front of the traffic light. There is also a truck behind you, which could hit you while doing an abrupt braking maneuver. Drive on briskly.",Continue driving,Slow down,,,Nima qilishingiz kerak?,"Svetofor sizning oldingizda yashildan sariqqa o‘tmoqda. Tezligingiz 45 km/soat. Shuning uchun svetofor oldida sekinlab to‘xtash uchun juda tez ketyapsiz. Ortingizda yuk mashinasi ham bor, keskin tormozlasangiz u sizga urilishi mumkin. Harakatni faol davom ettiring.",Harakatni davom ettiraman,Sekinlashaman,,
1.2.37-015,en,uz,What is correct in this situation?,"Basically, when turning left, you as a car driver have to grant the oncoming traffic right of way. Since in this situation, the green arrow lights on the opposite street corner, you can assume that the traffic light for the oncoming traffic is red. So, you can turn.",I may turn unimpeded,I must allow the oncoming traffic to pass through,I have to wait in the centre of the junction,,Bu vaziyatda qaysi javob to‘g‘ri?,Asosan chapga burilganda qarshidan kelayotgan transportga yo‘l berishingiz kerak. Bu vaziyatda qarama-qarshi ko‘cha burchagidagi yashil strelka yongani sabab qarshidan kelayotgan transport uchun svetofor qizil deb hisoblash mumkin. Shuning uchun burilishingiz mumkin.,To‘sqinliksiz burilishim mumkin,Qarshidan kelayotgan transportni o‘tkazib yuborishim kerak,Chorrahaning o‘rtasida kutishim kerak,
1.2.37-016,en,uz,You want to turn right at these traffic lights with a green arrow sign. What is the right course of action?,"Thanks to the green arrow sign, you can turn at this traffic light even when it's red. To do this, merge right and come to a brief stop in front of the traffic light. Afterwards, make sure that you do not obstruct or endanger other road users. Also note that cross traffic still has priority.",I stop before the junction,I have to ensure that other road users are not impeded,I may turn right into any lane,,Siz yashil strelka belgisi bor svetoforda o‘ngga burilmoqchisiz. To‘g‘ri harakat qanday?,"Yashil strelka belgisi tufayli svetofor qizil bo‘lsa ham o‘ngga burilishingiz mumkin. Buning uchun o‘ngga joylashib, svetofor oldida qisqa to‘xtang. Keyin boshqa yo‘l ishtirokchilariga xalaqit bermasligingiz va xavf tug‘dirmasligingizga ishonch hosil qiling. Kesishuvchi transport hali ham ustunlikka ega ekanini unutmang.",Chorraha oldida to‘xtayman,Boshqa yo‘l ishtirokchilariga xalaqit bermasligimni ta’minlayman,Istalgan yo‘lakka o‘ngga burilishim mumkin,
1.2.37-017,en,uz,What should you do?,"In front of you you see a traffic light changing from green to yellow. You drive at 40 km/h. Since you are still far enough from the traffic lights, you have to slow down.",Slow down,Continue driving,,,Nima qilishingiz kerak?,Oldingizdagi svetofor yashildan sariqqa o‘tayotganini ko‘ryapsiz. Siz 40 km/soat tezlikda ketyapsiz. Svetofordan hali yetarlicha uzoqda bo‘lganingiz uchun sekinlashishingiz kerak.,Sekinlashaman,Harakatni davom ettiraman,,
1.2.37-018,en,uz,What is the right course of action now?,"If the yellow traffic light flashes, the traffic light system is out of operation. Then the general right of way applies. You are not on a priority road; therefore, possible cross traffic has the right of way.",I allow any cross traffic the right of way,I wait at the stop line for the next set of green lights,"I drive through the junction quickly, because ""yellow"" is displayed",,Hozir to‘g‘ri harakat qanday?,"Agar sariq svetofor miltillasa, svetofor tizimi ishlamayapti. Bunda umumiy ustunlik qoidalari amal qiladi. Siz ustun yo‘lda emassiz; shuning uchun ehtimoliy kesishuvchi transport ustunlikka ega.",Kesishuvchi transportga yo‘l beraman,Keyingi yashil chiroqni to‘xtash chizig‘ida kutaman,Sariq ko‘rsatilgani uchun chorrahadan tez o‘taman,
1.2.37-019,en,uz,Under what circumstances may you cross a junction during a red light?,You are allowed to run over a red traffic light at an intersection under the following circumstances: If you want to carefully give way to an emergency vehicle with a blue flashing light and an emergency horn or if a police officer is regulating the traffic at the intersection.,To carefully afford space to an emergency vehicle with a blue flashing light and siren sounding,If there is a police officer on the junction directing traffic,Under no circumstances,,Qaysi sharoitlarda qizil chiroqda chorrahadan o‘tishingiz mumkin?,Siz quyidagi sharoitlarda qizil svetofordan o‘tishingiz mumkin: ko‘k miltillovchi chiroq va sirenali favqulodda transport vositasiga ehtiyotkorlik bilan yo‘l bo‘shatish uchun yoki chorrahada politsiya xodimi harakatni tartibga solayotgan bo‘lsa.,Ko‘k miltillovchi chiroq va sirenali favqulodda transport vositasiga ehtiyotkorlik bilan joy bo‘shatish uchun,Agar chorrahada politsiya xodimi harakatni boshqarayotgan bo‘lsa,Hech qanday holatda,
1.2.37-020-M,en,uz,You now want to turn right at these traffic lights with a green arrow sign. What is the right course of action?,"If there is a green arrow sign at a traffic light, you are allowed to cross a red light if you have stopped at the stop line first. You may turn if there is no risk of obstructing or endangering other road users.",I initially halt at the stop line,I ensure that other road users are not impeded,"Without stopping, I take the turn at walking speed",,Siz endi yashil strelka belgisi bor svetoforda o‘ngga burilmoqchisiz. To‘g‘ri harakat qanday?,"Svetoforda yashil strelka belgisi bo‘lsa, avval to‘xtash chizig‘ida to‘xtaganingizdan keyin qizil chiroqda o‘tishingiz mumkin. Boshqa yo‘l ishtirokchilariga xalaqit yoki xavf tug‘dirmasangiz, burilishingiz mumkin.",Avval to‘xtash chizig‘ida to‘xtayman,Boshqa yo‘l ishtirokchilariga xalaqit bermasligimni ta’minlayman,To‘xtamasdan piyoda tezligida burilaman,
1.2.37-021,en,uz,What is the rule at this traffic-light-controlled junction with additional signage?,"On traffic lights with this additional sign, only cyclists, even at red, can turn to the right.","- cyclists are permitted to turn right, even when the light is showing red","- motor vehicles are permitted to turn right, even when the light is showing red",- cyclists must turn right,,Qo‘shimcha belgi bor svetoforli chorrahada qanday qoida amal qiladi?,Bunday qo‘shimcha belgili svetoforlarda faqat velosipedchilar qizil chiroqda ham o‘ngga burilishi mumkin.,- velosipedchilarga chiroq qizil bo‘lsa ham o‘ngga burilishga ruxsat beriladi,- motorli transport vositalariga chiroq qizil bo‘lsa ham o‘ngga burilishga ruxsat beriladi,- velosipedchilar o‘ngga burilishi shart,
1.2.37-022-M,en,uz,The traffic lights facing you have already been “green” for some time now. What is the right course of action now?,"As the traffic light has been green for some time, there is a high probability that it will change to yellow at any moment. Keep driving, ready to brake, because you will have to stop if it switches to yellow. You must not speed up, as a maximum of 30 km/h is permitted.","I continue driving, ready to brake because the traffic lights could change to “amber”",I watch the traffic lights closely,I accelerate to ensure that I can still safely pass through the junction while the traffic lights are “green”,,Siz tomoningizdagi svetofor anchadan beri “yashil”. Hozir to‘g‘ri harakat qanday?,"Svetofor anchadan beri yashil bo‘lgani uchun u har qanday payt sariqqa o‘tishi ehtimoli yuqori. Tormozga tayyor holda davom eting, chunki sariqqa o‘tsa to‘xtashingiz kerak. Tezlashmaslik kerak, chunki maksimal 30 km/soat ruxsat etilgan.",Svetofor “sariq”ga o‘tishi mumkinligi sabab tormozga tayyor holda davom etaman,Svetoforni diqqat bilan kuzataman,Svetofor “yashil” turganida chorrahadan xavfsiz o‘tib olish uchun tezlashaman,
1.2.37-101,en,uz,"You want to turn left and the lights are ""green"". On your left there is a tram wanting to proceed straight ahead. What is correct?","Although you are allowed to drive, due to the green light, you have to grant the tram the right of way, as it continues straight ahead. You should therefore only enter the intersection halfway and let oncoming vehicles pass before turning left.",You must wait,The tram must wait,You must come to an agreement since there are no rules for this,,Siz chapga burilmoqchisiz va chiroq “yashil”. Chap tomoningizda to‘g‘ri ketmoqchi bo‘lgan tramvay bor. Qaysi javob to‘g‘ri?,"Yashil chiroq sabab yurishga ruxsat bo‘lsa ham, tramvay to‘g‘ri ketayotgani uchun unga yo‘l berishingiz kerak. Shuning uchun chorrahaga faqat qisman kirib, chapga burilishdan oldin qarshidan kelayotgan transportni o‘tkazib yuboring.",Siz kutishingiz kerak,Tramvay kutishi kerak,Qoidalar yo‘qligi sabab kelishib olishingiz kerak,
