questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
2.6.07-221,en,uz,Why do the driving and rest periods have to be taken into account in the route planning?,to be considered for route planning on driving and rest periods is important because it ensures that you can comply with the prescribed breaks and impairments of driving should be avoided.,- ensures that the driver is able to observe the prescribed rest times,- is intended to avoid impairments to the driving style,- it reduces the length of the driving distance,,Nega marshrut rejalashtirishda haydash va dam olish vaqtlarini hisobga olish kerak?,Marshrut rejasida haydash va dam olish vaqtlarini hisobga olish belgilangan tanaffuslarga rioya qilish va haydash qobiliyati yomonlashishining oldini olish uchun muhim.,- haydovchi belgilangan dam olish vaqtlariga rioya qila olishini ta’minlaydi,- haydash uslubining yomonlashishini oldini olishga xizmat qiladi,- haydash masofasini qisqartiradi,
2.6.07-222,en,uz,What should be taken into account with the route planning?,"You should take into account the driving and rest times for your route planning, the holidays of the individual states and also in cross-border traffic, the provisions of that other State.",The driving and rest periods,The public holidays of the specific federal states,The legal provisions of the other country in the case of cross-border transport,,Marshrut rejalashtirishda nimani hisobga olish kerak?,"Marshrut rejalashtirishda haydash va dam olish vaqtlarini, alohida federal hududlardagi bayram kunlarini va chegaradan o‘tadigan qatnovda boshqa davlat qoidalarini hisobga olish kerak.",Haydash va dam olish vaqtlari,Alohida federal hududlarning bayram kunlari,Chegaradan o‘tadigan transportda boshqa davlatning qonuniy qoidalari,
2.6.07-223,en,uz,What must be observed when using an electronic navigation device?,please check if a map update was carried out at regular intervals and the goal should be entered when the vehicle is stationary.,The card should be updated at regular intervals,The destination should be entered when the vehicle is stationary,The instructions on the navigation device should be followed at all times,,Elektron navigatsiya qurilmasidan foydalanganda nimaga rioya qilish kerak?,Navigatsiya xaritasi muntazam yangilanib turishi kerak. Manzilni transport vositasi to‘xtab turganda kiriting. Navigatsiya ko‘rsatmalariga har doim ko‘r-ko‘rona amal qilish mumkin emas.,Xarita muntazam yangilanib turishi kerak,Manzil transport vositasi to‘xtab turganda kiritilishi kerak,Navigatsiya qurilmasi ko‘rsatmalariga har doim amal qilish kerak,
2.6.07-224,en,uz,What should you factor in when planning your route?,"When planning the route, you should consider all 3 answers. The driving and rest times, the public holidays of the individual federal states and the provisions of the other state for cross-border traffic.",The driving and rest periods,The public holidays of the individual federal states,The rules of other countries when undertaking cross-border journeys,,Marshrutni rejalashtirganda nimani hisobga olishingiz kerak?,"Marshrutni rejalashtirganda haydash va dam olish vaqtlarini, alohida federal hududlarning bayram kunlarini va chegaradan o‘tishda boshqa davlatlar qoidalarini hisobga oling.",Haydash va dam olish vaqtlari,Alohida federal hududlarning bayram kunlari,Chegaradan o‘tadigan safarlarda boshqa davlatlarning qoidalari,
2.6.07-225,en,uz,What should you factor in when planning your route?,"When planning your route, you should take into account the driving and rest times and the regulations of the other country in the case of cross-border traffic.",The driving and rest periods,The rules of other countries when undertaking cross-border journeys,The prohibition on driving on the public holidays of the individual federal states,,Marshrutni rejalashtirganda nimani hisobga olishingiz kerak?,Marshrutni rejalashtirishda haydash va dam olish vaqtlarini hamda chegaradan o‘tadigan qatnovda boshqa davlat qoidalarini hisobga oling.,Haydash va dam olish vaqtlari,Chegaradan o‘tadigan safarlarda boshqa davlatlarning qoidalari,Alohida federal hududlardagi bayram kunlarida haydash taqiqi,
2.6.07-226,en,uz,What should be observed in relation to route planning?,"When planning your route, you should be aware of possible traffic obstructions due to road works, the holiday travel regulations and driving and rest times. All answers are correct.",The rules contained in the German summer holiday traffic regulations,The regulations on driving and rest periods,Possible obstructions of traffic caused by roadworks,,Marshrut rejalashtirishda nimalarga e’tibor berish kerak?,"Marshrutni rejalashtirishda Germaniyaning yozgi ta’til harakati qoidalari, haydash va dam olish vaqtlari hamda qurilishlar sabab yuzaga keladigan transport to‘siqlarini hisobga olish kerak.",Germaniyaning yozgi ta’til harakati qoidalari,Haydash va dam olish vaqtlari qoidalari,Qurilishlar sabab yuzaga kelishi mumkin bo‘lgan transport to‘siqlari,
2.6.07-227,en,uz,You are transporting general cargo. What should be noted in relation to route planning?,"When transporting general cargo, you should consider all 3 answers. The order of loading and unloading points, the time required for loading and unloading (save time), and the application of driving and rest times in connection with the Working Hours Act. (rest and recharge your batteries)",The sequence of the points for loading and unloading,The time required for loading and unloading,The application of the rules on driving and rest periods in conjunction with the German Working Time Act,,Siz umumiy yuk tashiyapsiz. Marshrut rejalashtirishda nimani yodda tutish kerak?,"Umumiy yuk tashishda yuklash va tushirish punktlari ketma-ketligi, yuklash-tushirish uchun kerakli vaqt hamda haydash va dam olish qoidalarining Ish vaqti qonuni bilan bog‘liq qo‘llanishi hisobga olinadi.",Yuklash va tushirish punktlari ketma-ketligi,Yuklash va tushirish uchun kerakli vaqt,Haydash va dam olish qoidalarining Germaniya Ish vaqti qonuni bilan birgalikda qo‘llanishi,
2.6.07-228,en,uz,What should you note when using your navigation system?,,You must consider the vehicle dimensions on the proposed route,Mounted mobile navigation systems may not impede the forward view,The arrival time calculated at the start of the journey takes account of mandatory driving and rest periods,,Navigatsiya tizimidan foydalanganda nimani yodda tutishingiz kerak?,Tavsiya qilingan marshrutda transport vositasi o‘lchamlarini hisobga oling. O‘rnatilgan mobil navigatsiya old ko‘rinishga xalaqit bermasligi kerak. Boshlang‘ich hisoblangan yetib borish vaqti majburiy haydash va dam olish vaqtlarini hisobga olmasligi mumkin.,Tavsiya qilingan marshrutda transport vositasi o‘lchamlarini hisobga olish kerak,O‘rnatilgan mobil navigatsiya qurilmalari oldinga ko‘rinishga xalaqit bermasligi kerak,Safar boshida hisoblangan yetib borish vaqti majburiy haydash va dam olish vaqtlarini hisobga oladi,
2.6.07-229,en,uz,What must you note when driving in other European countries in winter?,,- minimum tread depth of tyres,- obligation to fit your vehicle with winter tyres,- obligation to carry snow chains in your vehicle,,Qishda boshqa Yevropa davlatlarida haydaganda nimani yodda tutishingiz kerak?,"Qishda boshqa Yevropa davlatlarida shinalarning minimal protektor chuqurligi, qishki shina majburiyati va qor zanjirlarini olib yurish majburiyati turlicha bo‘lishi mumkin.",- shinalarning minimal protektor chuqurligi,- transport vositasini qishki shinalar bilan jihozlash majburiyati,- transport vositasida qor zanjirlarini olib yurish majburiyati,
2.7.01-008,en,uz,Your motorcycle is fully loaded. How do you drive down a long mountain pass road?,"When driving down over a long period of time, your brakes are at risk to overheat. To avoid this, try to use the braking effect of the engine on a low gear and limit the acceleration/deceleration in between turns.",Utilize the braking effect of the engine by changing to a lower gear,Do not drive too fast between bends in order to avoid overheating the brakes,Use the front wheel brake only,,Mototsiklingiz to‘liq yuklangan. Uzoq tog‘ dovoni yo‘lidan pastga qanday tushasiz?,Uzoq pastlikda tormozlar qizib ketishi mumkin. Buning oldini olish uchun past uzatmada dvigatel tormozidan foydalaning va burilishlar orasida ortiqcha tezlashmang.,"Past uzatmaga o‘tib, dvigatel tormozidan foydalanish",Tormozlar qizib ketmasligi uchun burilishlar orasida juda tez yurmaslik,Faqat old g‘ildirak tormozidan foydalanish,
